[00:00:02.420] 男：我那个高中舍友。
[00:00:08.020] 男：晚上我说。
[00:00:09.100] 男：他吃饭，带他吃饭。
[00:00:11.600] 男：着急的也是在校门口停车骑回来的路上有一段突然下雨。
[00:00:18.620] 男：一下子就被叼了。
[00:00:22.460] 男：然后我们所找个地方避避雨，刚找到避雨的地方。
[00:00:28.900] 女：Help. 
[00:00:56.880] 女：没有真的。
[00:00:59.080] 女：我妈也很喜欢跳舞。
[00:01:01.060] 男：我妈，不。
[00:01:25.860] 女：不知道。
[00:01:39.920] 女：好年轻啊。
[00:01:47.020] 女：好年轻啊，确实差不多。
[00:01:51.980] 女：差不多，我不知道具体多少次。
[00:01:58.620] 女：差不多。
[00:02:01.120] 男：我点的。
[00:02:02.500] 男：因为我跟我爸刚好差。
[00:02:05.980] 男：然后我20。
[00:02:13.780] 男：我爸跟我说过，对。
[00:02:25.100] 男：很搞笑。
[00:02:27.340] 女：我爸爸我妈以前跟我说，等我成年了之后就跟我说他们之间的爱情。
[00:02:34.800] 女：那之前我小我十几岁的时候就在好奇，他问嘛那他我妈就我妈就讲了一丢丢，他就不说，他就说不行，等你长大了之后再说。
[00:02:45.920] 男：所以现在。
[00:02:47.120] 女：没说。
[00:02:50.760] 女：那小孩子听这个干嘛？
[00:02:53.352] 女：我。
[00:03:01.500] 男：我爸我爸。
[00:03:03.200] 男：我爸很骄傲的。
[00:03:05.840] 男：对，他是一道。
[00:03:07.160] 男：我妈很骄傲的跟我说，是我爸追了她。
[00:03:14.660] 女：可以哦。
[00:03:36.760] 男：我我虽然觉得他。
[00:03:39.160] 男：我觉得二婚带娃。
[00:03:47.920] 男：我那个。
[00:03:49.140] 男：那个是。
[00:03:51.500] 男：点燃我这个。
[00:03:58.620] 男：还不知道为什么。
[00:03:59.940] 男：他们他们也他们他们身边的反面教材这么说，还对还对这个东西这么。
[00:04:06.180] 女：哪个东西。
[00:04:07.308] 男：就是结婚这个。
[00:04:17.220] 女：生活推动着。
[00:04:19.220] 男：也可以说他们。
[00:04:20.500] 男：等你到那个年龄，你就懂了。
[00:04:26.640] 女：生活推动啊。
[00:04:30.080] 女：刚看到有人说这个东西能带来那种安全感。
[00:04:36.880] 男：有利有弊吧。
[00:04:38.480] 男：对。
[00:04:39.840] 女：这是一种很很无力的妥协吧。
[00:04:42.920] 男：搭伙过日子的对吧？
[00:04:45.460] 男：如果不是碰到自己喜欢的。
[00:04:48.140] 男：那就是打我。
[00:04:50.340] 男：我觉得能跟能跟。
[00:05:07.840] 女：这儿还有多远啊，应该快到了吧，快到。
[00:05:22.020] 女：我就可能还还要上课。
[00:05:26.400] 女：他给人家上课。
[00:05:36.200] 男：我表妹。
[00:05:43.440] 女：吓我一跳。
[00:06:40.620] 女：对我看他好像快没了，那我们回去也差不多。
[00:06:49.960] 女：不是有一个了吗？
[00:06:54.840] 女：那那上面那个红的什么意思啊？
[00:07:01.680] 女：三个月。
[00:07:08.580] 女：嗯，你点。
[00:07:09.980] 女：快九点半。
[00:07:14.080] 女：不走。
[00:07:15.780] 男：那边我。
[00:07:19.860] 女：哦哦，对，地铁的那个地儿。
[00:09:17.300] 女：我还我还没给阿姨说新年快乐呢。
[00:09:27.340] 女：不在。
[00:09:29.440] 女：应该得等开学一段。
[00:10:25.260] 女：你是弟弟还是？
[00:10:31.220] 女：你是GG还是？
[00:10:37.220] 女：你有没有玩过QQ？
[00:10:42.220] 女：他他回去了。
