[00:00:03.800] 角色1：然后被陈陈小灿、陈小蓓陈小灿骂了一顿，他说炸。
[00:00:13.620] 角色1：要一个多久？
[00:00:16.420] 角色1：哦哦，想不起来了。
[00:00:22.220] 角色1：然后这。
[00:00:26.240] 角色2：到位到。
[00:00:43.360] 角色2：哎，这些人呢？
[00:00:50.180] 角色1：凑到一块，朋友都奇奇怪怪的。
[00:00:54.220] 角色1：我感觉能啊。
[00:00:56.400] 角色2：我当时在在在拍照的时候，我还认不出你。
[00:01:00.880] 角色1：我对你有印象。
[00:01:07.060] 角色1：对，因为因为那个时候我去了。
[00:01:10.680] 角色1：怎么不来？
[00:01:17.360] 角色1：然后当着然后有很少看这个大大鱼人的。
[00:01:22.540] 角色1：然后我就玩的。
[00:01:25.280] 角色1：那天确实是玩爽了。
[00:01:27.920] 角色2：要。
[00:01:30.260] 角色1：我那时候感觉你好高冷。
[00:01:32.400] 角色2：什么时候拍照。
[00:01:34.053] 角色1：的时候？
[00:01:35.200] 角色1：我感觉你有点高冷。
[00:01:37.173] 角色1：你那天的。
[00:01:38.960] 角色2：我太傻了。
[00:01:40.860] 角色1：结果很像真。
[00:01:45.180] 角色2：这样吧很快。
[00:01:50.920] 角色2：忘记那天干嘛了。
[00:01:55.660] 角色2：玻璃酒店。
[00:02:01.180] 角色2：哦，你认路啊。
[00:02:03.900] 角色2：太棒了。
