[00:00:01.560] 男：我发现。
[00:00:02.860] 男：去了两三天。
[00:00:04.460] 男：两三十啊，他他的诗，而且他评论的特别牢了。
[00:00:12.680] 男：然后我就记住他了。
[00:00:14.480] 男：然后可能他没。
[00:00:16.460] 男：啊，他就是没记住。
[00:00:18.300] 男：然后有一次我晚上训练完。
[00:00:21.260] 男：去小时间买东西，买完东西去外面那个超市，然后刚好碰见他们几个。
[00:00:27.600] 男：他跟赫洛他们几个人在那，然后我过去打招呼，我说哎，学长。
[00:00:33.220] 男：那。
[00:00:34.720] 男：然后。
[00:00:36.660] 男：然后他他就一脸懵。
[00:00:40.580] 女：你你觉得好像啊，我操。
[00:00:44.018] 女：好。
[00:00:44.540] 男：啊。
[00:00:46.280] 男：然后他。
[00:00:49.780] 男：然后我感觉好尴尬呀，我的。
[00:00:53.560] 男：学长，我在约会里。
[00:00:56.960] 男：哦，你觉得。
[00:00:58.446] 女：他好像啊说哦。
[00:01:00.675] 男：他就拍拍拍拍了一下。
[00:01:04.360] 男：哦，你是。
[00:01:06.760] 男：刚来了几。
[00:01:08.520] 男：嗯嗯，嗯嗯。
[00:01:10.200] 男：然后他憋了半天。
[00:01:11.940] 男：你穿这个训练。
[00:01:14.160] 男：他说你穿这个西装没？
[00:01:17.400] 男：然后就呃。
[00:01:19.940] 男：当夜互推了。
[00:01:22.360] 男：然后我就感觉特别尴尬，我就跑了。
[00:01:26.460] 男：然后加了他好友，就有一搭没一搭的聊过几次啊，看到他动态给他点赞。
[00:01:34.160] 男：然后。
[00:01:35.220] 男：巴拉巴拉。
[00:01:37.220] 男：也也忘记了，然后后后来好像是。
[00:01:42.080] 男：对啊，我好像在肇庆的每一天钓鱼有多少。
[00:01:46.740] 男：反正就是那那个。
[00:01:49.520] 男：他哦，我好像是通过合并的。
[00:01:53.020] 男：因为那个时候何一鸣在宿舍接打印的。
[00:01:56.260] 男：然后我找何一林帮忙打印，然后就这样认识的。
[00:02:00.400] 男：然后我发现何玉玲跟他们又都认识，然后就跟何玉玲聊天，聊不。
[00:02:04.940] 男：啊，然后陈一鸣他说他他也跟你。
[00:02:08.760] 男：啊，然后然后直到我会拍照之后就没有。
[00:02:13.240] 女：然后对，后面就被他那一次。
[00:02:15.342] 男：好像是我们大二的时候，他回来过生日。
[00:02:18.540] 男：把我们喊过去一句。
[00:02:20.340] 男：我就认识啊我就认识律师。
[00:02:23.140] 女：啊，但是你也在啊啊，我我不知道你在哎，你在吗？
[00:02:26.940] 男：我在啊啊。
[00:02:27.740] 女：你在啊在，我就在旁边。
[00:02:29.680] 男：哦，我那时候也在，就在那个跑、玩。
[00:02:33.480] 女：不是好啊啊，不是，是东北的。
[00:02:36.360] 女：都没到过盾。
[00:02:38.000] 男：哦，那那那那那应该。
[00:02:39.875] 女：我不管他生日第一次第一次送的就是挖吧。
[00:02:44.095] 男：我我记得是点了两个锅。
[00:02:47.700] 女：不是我不是我。
[00:02:49.640] 男：好像有一有一台。
[00:02:52.320] 男：你喊我啊，我。
[00:02:54.340] 女：这是过生日吃的吗？
[00:02:55.987] 男：我不知道是不是过生日。
[00:02:58.046] 女：他过生日，那大二、大二。
[00:03:00.160] 男：待会他回来，我记得我旁边就可以。
[00:03:03.660] 男：你去查。
[00:03:05.440] 男：我们三个男生。
[00:03:06.670] 女：那不是反诉他过生日。
[00:03:08.515] 男：应该那那我应该不在。
[00:03:10.500] 男：我们那一次就就是在四惠广场。
[00:03:17.280] 男：然后然后我说我操这个学长好好啊，明明跟我没交流问题说，然后他竟然喊我出来吃饭。
[00:03:24.360] 男：哇，他人好好啊。
[00:03:29.000] 女：但我发现了他是个豆腐。
[00:03:31.120] 男：真是个逗。
[00:03:34.620] 男：然后然后后面后面。
[00:03:39.600] 男：炒菜后面就是他。
[00:03:41.840] 男：他给我哦，他拍毕业照毕业照那个。
[00:03:44.820] 女：我还以为你跟他很熟呢，把你喊过来干干这干那的。
[00:03:49.020] 男：不是不是，他喊我是陈小灿，跟我说。
[00:03:52.940] 男：然后我说，你拍毕业照。
[00:03:55.160] 男：然后我说本来。
