[00:00:01.020] 角色1：短袖哦。
[00:00:04.160] 角色2：哈哈。
[00:00:05.180] 角色1：别逞强，谁呀？
[00:00:07.840] 角色1：但是我也不太懂。
[00:00:09.620] 角色2：等一下报告那那个。
[00:00:11.980] 角色1：真的吗？
[00:00:13.080] 角色1：让我看看。
[00:00:17.860] 角色1：这个是不是森林公园？
[00:00:19.696] 角色2：好像不是吧，这个好像就是。
[00:00:23.040] 角色1：在哪个？
[00:00:24.460] 角色2：快到万达对面。
[00:00:27.860] 角色2：中间这个好像还要。
[00:00:33.060] 角色1：回家想睡觉似的。
[00:00:35.640] 角色2：早睡吧。
[00:00:36.960] 角色1：大的。
[00:00:38.240] 角色2：然后抱着手机拉到200。
[00:00:40.380] 角色1：哎呀，然后然后。
[00:00:43.185] 角色2：抓到。
[00:00:44.260] 角色2：某个帖子的时候。
[00:00:54.460] 角色1：特别热闹多了。
[00:00:58.880] 角色2：算是市中心了。
[00:01:00.237] 角色1：但是可控性也没有很高。
[00:01:02.640] 角色2：有点晚。
[00:01:06.200] 角色2：在这个道。
[00:01:08.380] 角色1：那条路。
[00:01:11.680] 角色1：好的。
[00:02:35.820] 角色1：头发可固定不动。
[00:02:52.100] 角色1：你你你要你要弄个李志成的头发吗？
[00:02:55.260] 角色2：不是拉直在看。
[00:02:57.580] 角色1：那个。
[00:02:59.000] 角色2：我直接烫的话会。
[00:03:01.820] 角色2：黑头顶。
[00:03:07.280] 角色1：你试试呗。
[00:03:08.298] 角色2：你试试。
[00:03:09.061] 角色2：谁知胖了。
[00:03:10.960] 角色2：我我问那个人，他说。
[00:03:13.360] 角色2：我说。
[00:03:14.680] 角色2：他说直接就上来给我，就上药水开始趟。
[00:03:18.600] 角色2：我问他，我说。
[00:03:21.660] 角色2：我这个不用。
