[00:00:18.980] 角色1：我想改变。
[00:00:20.460] 角色1：发了很多话。
[00:00:24.820] 角色1：碰到碰到我。
[00:00:26.280] 角色1：啊，然后就会不会觉得。
[00:00:32.940] 角色1：所以那时候。
[00:00:36.480] 角色1：没有。
[00:00:38.380] 角色1：好像在聊吧聊。
[00:00:41.940] 角色1：然后。
[00:00:44.540] 角色1：我在这个后面。
[00:00:48.640] 角色1：然后他一直。
[00:00:50.840] 角色1：我我不知道。
[00:00:52.680] 角色1：反正有点记不清了，他就一直。
[00:00:56.400] 角色1：好像我说我。
[00:00:59.940] 角色1：他也喜欢二哥，你也喜欢。
[00:01:04.060] 角色1：然后你开始。
[00:01:05.380] 角色1：不自觉的释放脏了。
[00:01:08.460] 角色2：刚才还聊了这个。
[00:01:12.760] 角色1：然后后面就只有他俩。
[00:01:15.360] 角色1：这车要看。
[00:01:17.640] 角色1：试色真的很贴合。
[00:01:20.980] 角色1：你过来玩，帮你干嘛？
[00:01:23.540] 角色1：他他没说不帮忙，他就说过来玩过来玩。
[00:01:28.060] 角色1：没有玩儿。
[00:01:30.240] 角色1：然后来了点儿。
[00:01:31.880] 角色1：他就已经自动把我堵到。
[00:01:39.240] 角色1：然然后那一次之后。
[00:01:41.340] 角色2：我不敢。
[00:01:45.300] 角色2：哈哈哈。
[00:01:46.540] 角色2：我们来的时候他就在。
[00:01:51.760] 角色2：好像挺贵的。
[00:01:58.660] 角色1：然后我在老家。
[00:02:03.320] 角色1：因为因为88干它皮特别好剥。
[00:02:06.547] 角色2：对，而且肉。
[00:02:07.920] 角色2：嗯。
[00:02:09.020] 角色1：多汁儿，而且它汁儿不会像。
[00:02:12.440] 角色2：对。
[00:02:19.840] 角色2：不要搬不动。
[00:02:21.840] 角色2：不要你办。
[00:02:23.780] 角色1：我还没说呢，只是有车，我在这。
[00:02:28.920] 角色1：啊，快点快点一点。
[00:02:31.000] 角色2：两块钱一斤耶。
[00:02:34.100] 角色2：女子也。
[00:02:40.620] 角色2：我甘蔗能搬，他也不能搬了。
[00:02:43.553] 角色2：对。
[00:02:47.200] 角色2：谢谢他。
[00:02:49.300] 角色2：是这个吗？
[00:03:07.340] 角色2：到处都卖橘子啊。
[00:03:09.400] 角色1：我感觉。
[00:03:13.520] 角色2：好甜。
[00:03:14.260] 角色2：好甜。
[00:03:16.800] 角色2：是沃柑，前面也是沃柑。
[00:03:22.200] 角色2：应该是我接着。
[00:03:24.620] 角色1：但是我感觉就这个。
[00:03:26.860] 角色1：这个词会乱了。
[00:03:28.420] 角色2：呃，主要是定一下就好了。
[00:03:59.020] 角色2：对啊，你帮我跟那个那个老板娘说。
[00:04:04.020] 角色2：你给我配的那家店。
[00:04:06.840] 角色2：八号晚上。
[00:04:25.240] 角色1：小罐头。
[00:04:28.640] 角色2：换条不一样的。
[00:04:30.020] 角色2：你知道啊。
[00:04:31.700] 角色2：很厉害。
[00:04:44.800] 角色1：冷啊，不是。
[00:04:47.340] 角色2：看你的风风把你的帽子吹得鼓鼓的。
[00:04:53.080] 角色1：还以为。
[00:04:55.840] 角色2：他就是很圆很圆的。
[00:04:57.900] 角色2：他鼓到后面。
[00:05:02.380] 角色2：你看我。
[00:05:22.580] 角色2：他鼓就算了，还会随着风微微的颤抖。
