[00:00:00.380] 男：企业。
[00:00:01.620] 男：不管是要订单或者是干一些工程也好。
[00:00:05.620] 男：他会给企业30%到20%到30的。
[00:00:11.080] 女：猫。
[00:00:12.100] 女：我比老鼠跑。
[00:00:15.340] 男：给20%到30%的。
[00:00:17.900] 男：然后剩下的百分之七八十。
[00:00:20.400] 男：你得等干完全部封城之后，然后也就是说企业拿到这单子之后，剩下的都要。
[00:00:30.420] 男：然后那你干完了，验收完了之后，你又要排队等他那个租金下来。
[00:00:36.100] 男：还是要排财务去审核的。
[00:00:38.740] 男：一层一层批一下吧。
[00:00:46.240] 男：这个时候。
[00:00:47.760] 男：就可以把你们。
[00:00:49.500] 男：你要是没关。
[00:00:51.300] 男：大家都在等。
[00:00:53.200] 男：有你一个人要。
[00:00:57.020] 男：有有关系。
[00:00:58.460] 男：的话，我们应该。
[00:01:00.640] 男：政府的拨款，中央的款一下来，什么地方政府。
[00:01:04.540] 男：把那个。
[00:01:06.740] 男：优先给你。
[00:01:08.200] 男：大概就这么个运气。
[00:01:10.860] 男：花呗。
[00:01:12.080] 男：那一批熊被拖了快两。
[00:01:15.620] 男：然后今年大年。
[00:01:23.860] 男：我爸妈他们今年很多吵架。
[00:01:27.820] 男：我。
[00:01:28.320] 男：除了有关系矛盾。
[00:01:30.780] 男：之外很多都是因为超过。
[00:01:34.880] 男：我我暑假的学费是我妈找我妈妈。
[00:01:38.240] 女：暑假的学位。
[00:01:41.900] 女：嗯。
[00:01:43.160] 男：那是我姨妈他们借的。
[00:01:44.960] 男：呃，然后自己还专门开了一个信用卡。
[00:01:48.180] 男：你给我。
[00:01:51.760] 男：我跟爸爸。
[00:01:57.260] 男：很容易炒饭。
[00:01:58.780] 女：对。
[00:02:00.840] 男：然后今年钱到了之后，我妈特别。
[00:02:05.620] 男：然后我爸把骗子。
[00:02:11.220] 男：然后我妈就就把这钱给我妈。
[00:02:13.840] 男：先把。
[00:02:16.220] 男：没办法，借我妈妈好闺蜜了。
[00:02:25.220] 男：然后当年。
[00:02:30.900] 男：可以可以给我。
[00:02:35.240] 男：跟我妈说，这这钱收回来就可以装修。
[00:02:41.720] 男：他就他喝了酒，他就跟我说，哎呀。
[00:02:45.380] 男：你爸今年也是。
[00:02:49.500] 男：他说，他知道自己是因为钱的事情。
[00:02:56.060] 男：就没压力了。
[00:02:57.640] 男：100公里啊。
[00:03:01.680] 男：会保护着的。
[00:03:03.740] 男：然后他又给我重复了一遍，他跟我奶奶的活没关系。
[00:03:09.200] 男：本来本来今年。
[00:03:11.800] 男：因为我。
[00:03:17.800] 男：我家给我买。
[00:03:21.240] 男：一个镇上，往年我妈妈都除了除夕夜不回去做。
[00:03:27.100] 男：然后他平常他说。
[00:03:29.620] 男：那也怪可怜快过肉。
[00:03:33.160] 男：带着我们回去住了四五天。
[00:03:41.240] 男：你奶奶就是。
[00:03:44.140] 男：其他的。
[00:03:45.220] 男：知道吧？
[00:03:45.817] 男：然后又跟我说了一回，说不会不像我三姨妈，她的婆婆。
[00:03:50.440] 男：没事找事。
[00:03:53.020] 男：要跟我重申，他以后会做一个好。
[00:04:00.300] 男：完蛋。
[00:04:01.520] 男：我买完。
[00:04:09.940] 女：你也接不出来了。
[00:04:15.320] 女：你问我干嘛？
[00:04:20.040] 男：给我吃饱了。
[00:04:26.480] 女：我这种东西适合当宵夜。
[00:04:32.700] 女：嗯。
[00:04:36.260] 男：真的把外国人当人了。
[00:04:40.900] 女：外国人。
[00:04:45.880] 男：那今年让东南亚赛区的冠军来打了那个。
[00:04:51.060] 男：然后被。
[00:04:52.140] 男：那道一道二给盲人也说好了。
[00:04:56.420] 女：这么菜吗？
[00:04:57.334] 女：东南亚。
[00:04:58.160] 男：嗯。
[00:04:59.020] 男：因为他们玩的是国服几年前的版本。
[00:05:03.060] 男：然后他们他们自己训，也就是确定参赛之后才开始训练。
[00:05:09.020] 男：才开始打现在。
[00:05:13.240] 男：所以他们确实有劣势，而且差了一两年的版本。
