[00:00:01.400] 男：还没到正面呢。
[00:00:04.480] 男：我我给你讲一个，我是从我。
[00:00:12.220] 男：他说让我。
[00:00:13.120] 男：去看英文的时候，就。
[00:00:17.820] 男：你先去看他脖子，会发现他脖子是歪的。
[00:00:21.640] 男：葡萄味道。
[00:00:25.000] 男：刚才我记得。
[00:00:26.000] 男：他们说的是不要帮。
[00:00:27.980] 女：嗯嗯，对对对对对。
[00:00:31.160] 男：找人。
[00:00:32.380] 男：按照。
[00:00:33.860] 女：有。
[00:00:34.940] 男：一定从脖子这边动。
[00:00:36.700] 男：他的他的动脉血管。
[00:00:40.000] 男：然后。
[00:00:42.020] 男：活下来了。
[00:00:43.340] 男：然后就组织有效的那个。
[00:00:47.260] 男：然后对于反党反反党集团的那个。
[00:00:54.140] 男：你把那个。
[00:00:57.120] 男：然后就查无耻。
[00:00:58.412] 女：我反正我听说过阴谋论，就是李克强也是被那个。
[00:01:04.160] 男：没看到那个时候我们。
[00:01:07.660] 男：我们老师会给我们。
[00:01:09.880] 男：半月谈这些报勘。
[00:01:12.080] 男：然后我那天我一看李克强被解除国务院行。
[00:01:21.060] 男：又过了一段时间，就说。
[00:01:25.500] 男：然后我跟政治老师讨论，他说你觉得。
[00:01:28.860] 女：我跟着老师来跟你讨论啊。
[00:01:30.924] 女：对啊。
[00:01:31.300] 男：我的高中政治老师对我特别好。
[00:01:37.660] 女：女朋友。
[00:01:40.700] 女：该怎么去博物馆？
[00:01:42.461] 女：走吧，好厉害。
[00:01:43.960] 女：这里还有这种地方。
[00:01:50.040] 男：这还有个东西。
[00:01:56.580] 女：可能。
[00:02:05.180] 男：他没跟我。
[00:02:07.940] 男：知道吗？
[00:02:18.240] 女：那你们在干嘛？
[00:02:42.520] 男：走吧，往里走。
[00:03:02.660] 男：可能没有人。
[00:03:05.260] 女：对呀。
[00:03:08.740] 女：对吧？
[00:03:16.680] 女：对吧？
[00:03:21.440] 男：等我月经三天的。
[00:03:24.020] 女：对呀，当时当时是有一。
[00:03:28.220] 女：那个学长跟我说到这个事情。
[00:03:32.240] 女：他要他他不敢往下说，因为他说他要。
[00:03:35.640] 女：他入党。
[00:03:43.660] 女：你看这只也是尾巴。
[00:04:07.920] 女：我说这是说什么说嘛呀这。
[00:04:10.900] 男：要的什么网？
[00:04:25.180] 男：吃饱了。
[00:04:29.960] 女：这牛逼。
[00:04:31.540] 男：对呀。
[00:04:32.880] 女：他说会是五分吧。
[00:04:36.880] 男：我我上一次来是白天来的，我觉得晚上来。
[00:04:45.800] 女：这边是什么地方？
[00:04:47.328] 女：商商业街吗？
[00:04:50.000] 男：我这里就。
[00:04:53.860] 男：电影小镇。
[00:04:58.580] 女：稍等一下。
[00:05:07.620] 女：怎么说，我们现在。
[00:05:18.820] 男：一代是天花。
[00:05:35.760] 男：我还在。
[00:05:36.640] 男：我打心底。
[00:05:45.420] 男：确实他们说，很多人说你搞改革开放就是。
[00:05:55.400] 男：没钱谈什么国家的？
[00:05:59.420] 女：那你们能进吗？
[00:06:27.980] 女：对呀。
[00:06:31.700] 女：都没感觉自己在上学。
[00:06:34.480] 女：出来才才是活着呀。
[00:06:43.280] 男：还是要多出来玩。
[00:06:45.200] 男：8182出来玩少了。
[00:06:47.460] 女：我玩的多了。
[00:06:50.760] 女：这不还被导演警告了吗？
[00:06:53.340] 男：出来。
[00:06:58.460] 男：在出来之前，我。
[00:07:16.940] 女：这树怎么被拍下去哦，这是被砍倒的，往下一丢啊。
[00:07:21.520] 男：好像是吧。
[00:07:22.470] 男：可怜的小。
[00:07:25.180] 女：应该就是这个。
[00:07:29.020] 男：小裙子，我听到那个放小烟花的。
[00:07:36.340] 女：能找到这么漂亮地方，也是有你的呀。
[00:07:53.560] 女：儿子去上海外滩了。
[00:07:57.880] 女：人太多了，反正你得找个袋子啥的。
[00:08:03.080] 女：我，好棒，因为那边的时候有个交警专门指挥别人过马路。
[00:08:08.520] 女：分批的，我觉得。
[00:08:10.640] 女：一次感觉50个人吧，分过去50个人。
[00:08:15.220] 女：然后那个全都是挤满的。
[00:08:19.960] 女：对呀。
[00:08:22.220] 女：羊。
[00:08:23.720] 女：李克强。
[00:08:25.300] 女：李克勤的。
[00:08:28.060] 男：刚刚好。
[00:08:30.020] 男：牛逼其实是我的。
[00:08:33.740] 女：你哥肯定是谁来着？
[00:08:35.406] 女：更多的吧。
[00:08:36.380] 男：不知道。
[00:08:46.660] 男：1978年。
[00:09:03.680] 男：哦。
