[00:00:06.320] 女：是只有一个土包。
[00:00:07.667] 男：还是有很多越往里走，因为我找不到一时半会儿找不到出去的路，我只能硬着头皮往里。
[00:00:14.940] 男：然后越走越多越走越多，然后我一直在说。
[00:00:19.140] 男：无意打扰您。
[00:00:24.420] 女：没有那种立起来的杯子。
[00:00:27.208] 男：有杯后面看到杯有。
[00:00:31.140] 男：他们说这个地方。
[00:00:33.160] 男：是要做那个开发区的，但好像。
[00:00:41.200] 女：这个还挺好看的呀。
[00:00:43.200] 女：有点日式。
[00:00:47.800] 男：我不知道他这个烤肉纸用了没。
[00:00:51.520] 男：他们说好像这个。
[00:00:53.200] 男：是一个失败的投资项目，因为没有多少人。
[00:00:56.960] 男：交通不方便。
[00:00:58.480] 女：消防确实不方便。
[00:01:00.340] 男：都不懂。
[00:01:02.700] 女：你看这附近多慌啊。
[00:01:08.300] 男：好处就是很安静。
[00:01:11.520] 女：养老。
[00:01:12.900] 女：比较适合养老。
[00:01:18.920] 女：好大呀，他这得挣几百万吧。
[00:01:23.120] 男：100万应该不。
[00:01:25.540] 女：这么大。
[00:01:29.480] 女：真漂亮。
[00:01:31.440] 女：啊，里面里面还有绿植哦。
[00:01:36.220] 女：哎呀，牛奶吗？
[00:01:38.380] 女：奶牛猫牛奶猫奶牛猫他。
[00:01:41.068] 男：好像有一些是投入。
[00:01:43.660] 男：刚才那个。
[00:02:08.420] 女：是没有在用，对吧？
[00:02:11.960] 女：嗯，这个这个电脑好漂亮啊。
[00:02:15.460] 女：他们找错地方。
[00:02:18.440] 男：但是我真的很想夸一下这个酒店的。
[00:02:22.060] 女：对呀，剩下的。
[00:02:24.140] 男：那里也不。
[00:02:25.160] 女：这里面看着没住人。
[00:02:26.733] 男：这里很多。
[00:02:27.700] 男：因为很多钓鱼佬钓到鱼附近。
[00:02:34.500] 女：你是全世界的团宠。
[00:02:38.300] 男：唯一一个因为。
[00:02:40.300] 男：被人类带的。
[00:02:42.940] 男：带着发育。
[00:02:50.740] 女：壁虎，地道。
[00:02:54.300] 男：我那手机。
[00:02:55.300] 男：那就对的，那。
[00:02:58.840] 男：现在是一个。
[00:03:21.260] 女：都不需。
[00:03:29.300] 女：好多鸟。
[00:03:32.420] 男：你等我一下。
[00:03:33.480] 男：美美啊。
[00:03:34.620] 男：不稳定的。
[00:03:37.220] 男：你看这个。
[00:03:43.160] 男：还有还要给。
[00:03:46.420] 女：应该是给流浪猫大的吧。
[00:03:50.020] 女：这个好像还挺多的。
[00:03:55.860] 女：就这酒店没在使用也挺可惜的。
[00:04:00.560] 男：又不害怕，到时候在美团上查一下。
[00:04:03.880] 男：这个地方多少？
[00:04:06.600] 女：哪里？
[00:04:07.900] 女：对，这个这个有在做吗？
[00:04:10.580] 男：应该是有部分。
[00:04:13.840] 女：但是看着都很空啊，里面是不是没有装饰？
[00:04:18.360] 女：你打了个百。
[00:04:20.380] 男：应该是有有部分是可以住人的，因为我看见过那个晚上提的没有。
[00:04:26.840] 男：工作人员在那个大。
[00:04:32.660] 女：好痛啊。
[00:05:09.740] 男：你要掉。
[00:05:25.940] 女：你为什么选这个声音？
[00:05:31.680] 女：好屌啊。
[00:05:33.580] 女：我听到这个声音都有点发晕了啊，好想。
[00:05:37.360] 男：很多人用。
[00:05:38.980] 女：有可能肯定反错了。
[00:05:42.600] 男：那我刚刚没走错啊，一直在这瞎叫。
[00:05:47.600] 女：嗯，宝贝回来。
[00:05:50.480] 男：他他原来是一个。
[00:05:55.480] 男：我我以前。
[00:06:00.680] 男：反正现在是退网。
[00:06:06.360] 男：那时候。
[00:06:07.960] 男：导航。
[00:06:17.880] 男：还网还说有人说他近。
[00:06:27.700] 男：网盘有很多人。
[00:06:31.180] 男：然后。
[00:06:32.440] 男：我我一直。
[00:06:34.640] 男：因为他人气最高的时候，就。
[00:06:47.020] 男：给湖北带货。
[00:06:48.780] 男：带货带带货带了很多有的用的。
[00:06:52.480] 男：然后带货的可能全部捐给。
[00:06:56.940] 男：然后那个时候是。
[00:06:58.940] 男：第一次上课。
[00:07:00.640] 男：好，然后戴了个口罩。
[00:07:04.420] 男：所以我对。
[00:07:08.060] 男：呃，那好，他这个人，但是哎被那个斗鱼平台给。
[00:07:13.380] 女：斗鱼好像经常出事儿。
[00:07:15.077] 男：斗鱼还是不。
[00:07:17.060] 女：这两个平台。
[00:07:18.880] 男：反正就是虎牙老老总搞一个。
[00:07:22.900] 男：反正就是违规的。
[00:07:25.140] 男：然后他作为投资主播，他不听。
[00:07:28.720] 男：然后他就呃，跟了那个。
[00:07:32.240] 男：平台的话。
[00:07:36.900] 男：然后他说。
[00:07:38.620] 男：然后过来。
[00:07:43.520] 男：他过往的。
[00:07:46.200] 男：发评论，然后有很多人问他。
[00:07:50.020] 男：他就回了一个网友都给他。
[00:07:54.240] 男：也没法出来看。
