[00:00:04.920] 男：然后反而现在去了那么多地方。
[00:00:07.796] 男：我最喜。
[00:00:11.120] 女：我其实也是。
[00:00:12.440] 男：广州的人。
[00:00:13.760] 男：很很有人情味嗯。
[00:00:24.580] 男：就是对。
[00:00:27.160] 男：他的消费我。
[00:00:30.100] 男：体验下来，我感觉跟韶关差不多。
[00:00:33.380] 男：有可能是韶关太。
[00:00:39.260] 女：啊，真漂亮啊。
[00:00:51.060] 女：我很少去深圳。
[00:00:58.420] 女：我就喝过那杯的。
[00:01:00.120] 女：没什么好说。
[00:01:36.440] 女：对吧？
[00:03:06.000] 女：什么味道？
[00:03:08.080] 女：怎么在封神政务服务中心？
[00:03:13.440] 男：那我补。
[00:03:14.740] 男：没有在家，然后刚补办到，然后我的原原件就找到了。
[00:03:21.300] 女：那原件不就是不能用了，对呀。
[00:03:24.120] 女：到他的。
[00:03:32.860] 男：就当是换了个证件照吧。
[00:03:35.900] 男：原来那个原店，他那个照片拍的不好看。
[00:03:39.080] 女：你别说了，说到证件照，我就想到我在江西拍的那个司法所的港澳通行证。
[00:03:45.000] 男：呃，港澳通行证好像不可以用照片。
[00:03:49.220] 女：对呀，然后他们他们说拍拍弄一下吧，就带我去了，然后啥啥都没搞。
[00:03:55.020] 女：什么妆没涂，然后衣服衣服也是随便穿的。
[00:03:58.700] 女：哦，我头发很乱，我身份证原件那个更难封。
[00:04:02.317] 男：我那时候不知道我妈要带我去找那个身份证。
[00:04:06.680] 男：然后。
[00:04:08.060] 男：他就说陪陪他去一趟那个政务服务中心，我就跟着去了。
[00:04:12.580] 男：胡子也没刮，头发也没剪。
[00:04:15.240] 男：那个时候。
[00:04:17.080] 男：然后过去了，我还没睡醒。
[00:04:20.780] 男：然后过去了，他说啊，你随便拿一个外套披在身上。
[00:04:24.794] 男：我说啊，干嘛啊，拍。
[00:04:30.780] 男：那个那个表弟。
[00:04:39.580] 女：现在明日方舟真是越越越越说越有。
[00:04:45.060] 男：你能在这找到你想要的。
[00:04:47.587] 男：这。
[00:04:52.280] 男：我挺想去那个塔看。
[00:04:54.320] 男：但是我找不到路。
[00:04:56.000] 男：地图上我也不知道他在哪。
[00:04:58.074] 女：你可以发小红书问一下。
[00:05:05.040] 女：支持这个塔是什么塔？
[00:05:07.480] 男：不知道。
[00:05:08.540] 女：骗我。
[00:05:14.620] 男：看到大家那么多人多。
[00:05:21.540] 男：那你们现在在店里这个多久？
[00:05:25.320] 男：点的那条到手。
[00:05:27.460] 男：沿着右边那条路。
[00:05:29.620] 男：可以走到那个。
[00:05:50.480] 女：鬼火图。
[00:05:52.880] 女：鬼火boy。
[00:05:55.020] 男：沿着右边那边。
[00:05:57.200] 男：我意思啊。
[00:06:05.560] 女：我去过电路。
[00:06:08.660] 女：不是。
[00:06:54.380] 女：树长得真漂亮，被砍了，然后冒出来这种头痛。
[00:07:02.980] 女：哦，春天的很。
[00:07:06.720] 男：不好意思。
[00:07:10.180] 女：我没走过这条道，我应该是没有去过保利公。
[00:07:21.140] 男：太晚。
[00:07:22.320] 男：你要早点的话，还。
[00:07:28.420] 女：能不能调又要啊。
[00:07:31.840] 女：不能说去了丽湖公园还要去另一处。
[00:07:44.040] 女：第那个第一条件也在附近吗？
[00:07:46.760] 女：啊，这边花看着这么漂亮吗？
[00:07:49.620] 男：另一小的那个。
[00:07:52.360] 女：有点远了。
[00:07:55.680] 女：拍的好漂亮，我的妈妈。
[00:08:01.340] 男：所以我超喜欢在一个。
[00:08:46.280] 男：巴黎广场那有很多老。
[00:14:22.340] 女：这边还是蛮有老同志的感。
[00:14:42.020] 女：第二种，我应该走过来过这个地方。
[00:14:45.820] 女：可能来过这个。
[00:14:48.620] 女：哎呦，我的天哪，好漂亮。
[00:14:55.680] 女：哦，这个就是高利贷。
[00:14:57.460] 女：你这260米走了这么远。
[00:15:11.020] 女：啊，今天走过了我。
[00:15:16.860] 女：好看呀。
[00:15:17.900] 女：好老啊。
[00:15:21.160] 女：少说都是有30年了吧，这个自尊自拍。
[00:15:55.820] 男：这样吧。
[00:16:22.040] 女：为啥牌子都爆掉了？
[00:16:24.980] 女：他要是谈你拍怎么办？
[00:16:26.960] 男：应该不会比。
[00:16:29.400] 男：很少插排的。
[00:16:31.120] 女：好像。
[00:16:37.440] 女：不要失败了。
[00:17:17.480] 女：你先帮我喝酒。
[00:17:49.820] 女：啊，还有。
[00:17:52.660] 女：里面对应着一个广场。
[00:17:58.300] 女：我刚，然后然后他那个还有地下停车场。
[00:18:08.840] 男：找找那个。
[00:18:29.020] 男：喂喂喂。
[00:18:32.820] 女：我来这边。
[00:18:36.300] 女：我在万达。
[00:19:04.480] 女：好掉线，好喜欢。
[00:19:19.040] 女：你很贵吗？
[00:19:24.980] 男：放松下来。
[00:19:40.100] 男：我之前看。
[00:19:50.000] 男：真的没有年代感。
[00:19:51.450] 男：二楼卖艺。
[00:19:57.980] 女：吓死了，我说谁给我转钱呢？
[00:20:06.020] 女：好帅呀。
[00:20:07.520] 男：太好了。
[00:20:08.840] 女：感觉回到了十年前，我操。
