[00:00:01.040] 男：获得了优惠券。
[00:00:12.000] 女：收到了，我说我快递都没有钱了。
[00:00:16.500] 男：哎呀。
[00:00:28.540] 男：被告代理人的。
[00:00:33.640] 男：1 26美元。
[00:00:35.700] 男：日出晨报决定自建。
[00:00:38.880] 男：减肥人。
[00:00:40.180] 男：你已获得2 32个。
[00:00:53.220] 女：你要故事生气什么？
[00:01:05.700] 女：还挺快的，没想到。
[00:01:08.800] 男：你们说是哪方面？
[00:01:10.600] 女：你会费的速度。
[00:01:13.980] 男：什么时候把正牌。
[00:01:16.280] 女：还没退吗？
[00:01:18.060] 女：我四五百万。
[00:01:21.880] 男：啊，又是一笔意外。
[00:01:25.880] 女：哼这把锁把它拿回来。
[00:01:36.000] 男：我感觉我好坏啊，我每次都会拿这个钱来哄我妈妈。
[00:01:40.020] 男：把这个图截给我爸妈了，或者说爸妈我我就在。
[00:01:46.100] 女：真的假的。
[00:01:47.300] 男：我之前试过一次。
[00:01:53.840] 男：很过瘾。
[00:01:55.060] 男：把那个医保费。
[00:01:56.760] 男：把那个备注给没有。
[00:02:00.300] 男：打款单位广东话。
[00:02:04.460] 女：哦。
[00:02:06.020] 男：哎，然后他们二老就很开心。
[00:02:10.860] 女：那真开心了。
[00:02:16.520] 男：哎，我爸真。
[00:02:17.700] 男：我感觉我爸。
[00:02:24.180] 男：他跟我说。
[00:02:28.160] 男：黏人了要有规划，你要不够用的话。
[00:02:32.420] 男：那就是点。
[00:02:37.820] 男：然后啊。
[00:02:39.620] 男：我这个胶啊。
[00:02:41.460] 男：那一类的。
[00:02:43.480] 男：有社交需求，他可以酌情给我批评的。
[00:02:47.192] 男：我。
[00:02:47.900] 男：然后搬下乡的时候，我跟他说。
[00:02:51.120] 男：我我要了哦，我翻下墙的时候，后面我们那个团队张金龙是给我们。
[00:02:57.500] 男：六千多的冒险。
[00:02:59.520] 男：寻到一个人手上有差不多的八九百。
[00:03:02.760] 男：我就给我爸。
[00:03:04.540] 男：哎，这个我没我没哄他啊，疙瘩。
[00:03:10.020] 男：哎，然后给他高兴了，他过年老是在拿这个说事，他他过年说什么哎呀。
[00:03:15.900] 男：别。
[00:03:16.800] 男：他一喝酒，他就说别看就就就在那儿。
[00:03:20.100] 男：他说，别看他这个学校上的。
[00:03:22.760] 男：不怎么样，他在学校很用。
[00:03:25.160] 男：又拿了奖学金，搞得三下乡还还获奖了，还有奖金。
[00:03:32.800] 男：特奥。
[00:03:34.040] 男：然后。
[00:03:35.140] 男：然后去年去年父亲节的时候，我给他买了一对耳。
[00:03:39.940] 男：买了副蓝牙耳机。
[00:03:42.220] 男：兄弟，他喜欢听书什么？
[00:03:44.440] 男：我给他买了。
[00:03:46.000] 男：然后今年在车上，我说爸，你不要连车载蓝牙放你那个小说了，我想睡觉很困，你你用我耳机吧。
[00:03:54.589] 男：然后我就把我的那个开放式递给他说我不用你了，我自己有。
[00:04:00.380] 男：然后就掏出了之前我给他买的，他就。
[00:04:03.380] 男：哎呀，这个是这个是你弟弟给我买。
[00:04:09.420] 男：他他跟我说，你没这待遇吧，这个耳机是你弟买的。
[00:04:13.260] 男：然后我弟在旁边说，我什么时候给你买过耳？
[00:04:16.660] 男：我爸说，这不是你买的吗？
[00:04:19.380] 男：我买的。
[00:04:21.220] 男：哦，你买的呀，哎，反正就是儿子买的。
[00:04:25.520] 男：懒得不。
[00:04:28.620] 女：女儿买的肯定记得了。
[00:04:31.580] 男：哎，我笑笑很喜欢画饼。
[00:04:34.180] 男：笑笑现在就开始天天画饼，他说大哥你喜欢那个小米的汽车，你你乖乖你你乖乖听我话，以后我给你。
[00:04:45.040] 男：然后跟我爸说，就是你今天不带我玩那个什么蹦蹦床是吧？
[00:04:49.815] 男：那好，以后我给我给妈妈买车，不给你。
[00:04:55.240] 女：小家伙这么盯吗？
[00:05:05.600] 男：跟小孩在一块儿，他他每次都是那个。
