[00:00:01.400] 男：有的人现在又眼红。
[00:00:03.700] 女：我生意好，你怎么眼红你，你想好做好自己。
[00:00:14.880] 男：现在还没。
[00:00:16.780] 男：还算晚生吧嗯。
[00:00:19.320] 男：早春。
[00:00:23.720] 女：走到那边，好多果子来过。
[00:00:26.192] 男：一。
[00:00:26.740] 女：这边这边果树太多了。
[00:00:29.240] 男：还有叶子。
[00:00:30.500] 男：它这个叶子叶子少的地方。
[00:00:36.740] 女：等一下下课，他们九点多了，然后有一帮辆委会过来买。
[00:00:41.787] 男：九点多有很多在外面玩完回来了。
[00:00:46.120] 女：九点多又要回来了。
[00:00:51.420] 女：没没掉了，又到上面的。
[00:00:54.980] 女：那个去年那个人连晕我三天了。
[00:00:59.040] 女：那第二天第一天那个礼拜天的礼拜天啊，就在上面，然后呢，第二天就到上面来，他就没有那一单。
[00:01:09.500] 女：你。
[00:01:10.480] 女：这个故意。
[00:01:13.460] 男：没事，今年今年今年他。
[00:01:15.391] 女：今年不敢了，再敢的话，我就就叫人来干他。
[00:01:19.840] 男：好。
[00:01:23.960] 女：他敢不来，我就我真的把叫你们。
[00:01:27.540] 男：嗯。
[00:01:37.100] 女：我又没有得罪你大家，你做这些，你做这行生意。
[00:01:43.980] 男：自己社会经验的。
[00:01:45.380] 女：都在。
[00:01:47.880] 男：我待会儿要过去对面。
[00:01:54.440] 女：还没吃饱。
[00:01:55.820] 女：我吃饱了，他也吃饱了。
[00:01:57.940] 男：我今天中午。
[00:02:02.340] 男：赶到那个厨师下班的点，他就说。
[00:02:05.740] 女：玫瑰花觉到汤里边了。
[00:02:10.460] 女：对啊，他那个那边也有好多在那个缝隙里面。
[00:02:17.000] 女：那边看不到。
[00:02:18.840] 女：那两个。
[00:02:22.340] 女：就是那个花花草草。
[00:02:28.220] 女：看着电动砸掉，他们的电都停掉。
[00:02:31.620] 女：电子电子票。
[00:02:33.320] 女：上面那个花花草草。
[00:02:40.360] 女：强大的风景在这个。
[00:02:42.520] 女：哦，真的。
[00:02:44.760] 女：没有。
[00:02:46.100] 女：他在里面，我可以躲着它里面的。
[00:02:49.760] 女：你到店里来。
[00:02:57.320] 女：你大家都几十岁了，找工作也不好找。
[00:03:01.380] 女：那你不要这样子是吧？
[00:03:03.840] 女：大家嗯嗯。
[00:03:06.420] 女：那个。
[00:03:07.700] 女：这好多那个8。
[00:03:10.960] 女：后面不要再来了。
[00:03:12.587] 女：花。
[00:03:19.300] 女：风大的会吹过来。
[00:03:21.440] 男：到时候可以弄一个。
[00:03:23.740] 女：那个雨伞多少钱？
[00:03:26.260] 女：快掉了。
[00:03:27.840] 女：看到了吗？
[00:03:34.240] 女：你在那边。
[00:03:36.260] 女：根本没有。
[00:03:39.380] 男：现在大三大四。
[00:03:41.620] 男：就这个下半学期都是课比较少。
[00:03:45.140] 男：大四基本上。
[00:03:46.740] 男：实习的都没什么课了，大三这个时候也也不。
[00:03:52.020] 女：美女太漂亮。
[00:03:54.200] 男：可以，那我们先去对面看一下。
[00:04:10.100] 男：爷爷，拜拜。
[00:04:14.240] 男：干嘛吧？
[00:04:15.400] 女：没人带你。
[00:04:18.680] 男：等会儿。
[00:04:22.180] 女：主主管下班前就行了。
[00:04:24.860] 女：走啊，今天我陪你去找伞。
[00:04:28.280] 女：呀，大。
[00:04:29.640] 男：老师呀。
[00:04:32.740] 女：不敢谢我呢。
[00:04:59.340] 女：很少。
[00:05:03.340] 女：哎，对。
[00:05:20.220] 男：好谢谢好，谢谢啊。
[00:05:39.800] 男：我就。
[00:05:40.660] 男：你在哪里？
[00:05:48.220] 男：然后看看，然后。
[00:05:55.380] 男：嗯，那。
[00:06:01.060] 女：肯定。
[00:06:13.920] 男：我我。
[00:06:14.780] 女：看看。
[00:06:16.380] 男：昨天拍一张照，然后然后拍完之后他给他拍红了，他说我操我看着说话不腰疼啊。
[00:06:24.540] 男：你过来帮忙。
[00:06:35.800] 女：吱哇吱哇乱跳的。
[00:06:37.130] 男：然后然后他这个手拿剪刀，想把他那个剪下来，剪掉了，把那个。
[00:06:42.140] 男：然后他他被夹着用不上。
[00:06:44.780] 男：然后他把点弄。
[00:07:13.000] 男：要不我直接把它全部剪下来了给他。
[00:07:16.840] 男：然后。
[00:07:17.780] 男：我用力。
[00:07:22.900] 男：哦，他晚了。
[00:07:29.060] 男：没用了。
[00:07:30.760] 男：真奶的。
[00:07:33.480] 男：给我烫到，我操脑子都是困。
[00:07:37.980] 男：然后后面看了一下他那个。
[00:07:43.260] 男：然后然后拿那个东西。
[00:07:50.200] 女：啊，完了忘了是哪。
[00:08:09.220] 女：说话留痕是好的。
[00:08:15.220] 女：我记得是芒果爷爷吧。
[00:08:32.160] 女：有人下去了。
[00:08:35.040] 女：有人炸毛了。
[00:08:36.580] 男：他在查记录。
[00:08:39.540] 女：对我今天点了一个芒果，不知道是什么芒果预约啊。
[00:08:43.680] 女：应该是吧。
[00:08:44.973] 女：对呀。
[00:08:48.340] 女：芒果奶昔芒果奶昔芒果奶昔吧。
[00:08:56.800] 男：东北。
[00:08:58.240] 男：中杯少冰少糖。
[00:09:01.780] 女：澡堂。
[00:09:03.200] 女：Hello真的吗？
[00:09:06.260] 女：感觉感觉普通的刚刚好哦。
[00:09:09.560] 男：那那就正常了吧，哥。
[00:09:26.960] 男：是不是又要骗我？
[00:09:33.620] 女：厚一点。
[00:09:40.620] 男：明天降2。
[00:10:56.220] 男：那边呢？
[00:10:57.280] 男：要摇的东西对不对？
[00:11:14.420] 女：他已经又浪费他妈了。
[00:11:17.220] 女：待了一下午没收拾好。
[00:11:18.966] 女：开。
[00:11:20.020] 男：嗯，我们回去收拾，先拖了拖地，然后再。
[00:11:23.660] 男：搞那个。
[00:11:27.220] 女：弄了一个收纳，就在桌子旁边弄了一个挂钩，然后上面可以放娃娃，上面可以去做工艺的。
[00:11:33.500] 女：给他装了一下，然后白色的那。
[00:11:36.340] 女：可能有一个大。
[00:11:38.060] 女：好大的。
[00:11:41.020] 女：把它摆在那里没得管了。
[00:11:45.720] 男：对他那个魔术贴。
[00:11:56.640] 女：可以加酱油，要什么口味啊？
[00:11:58.918] 女：那口味。
[00:12:03.420] 女：可是我没有吃东西。
[00:12:16.340] 女：哦，我说我想。
[00:12:18.077] 男：跟你说。
