[00:00:00.000] 男：我对我没有补。
[00:00:02.140] 女：什么这玩意儿在胡说吗？
[00:00:04.990] 男：就是我跟另外。
[00:00:07.780] 男：就会。
[00:00:10.480] 男：后面都。
[00:01:05.340] 男：小米汽车给我打电话。
[00:03:00.220] 女：手工包手工被。
[00:04:01.140] 女：我知道了。
[00:04:11.620] 男：这有多少？
[00:04:20.020] 女：疫情大概就是有一包严重啊。
[00:04:24.740] 女：你买过那种盐？
[00:04:28.420] 女：对啊，一一天的这一包一包也能送了。
[00:04:34.020] 女：两个月差不多了吧。
[00:04:37.180] 男：三四个就差不多。
[00:04:39.752] 女：3。
[00:04:44.120] 女：吃水说话。
[00:05:17.760] 女：玉观音。
[00:05:37.100] 女：是往这走吗？
[00:05:38.311] 女：不太对吧？
[00:05:46.260] 女：好多菜。
[00:05:55.320] 女：继续。
[00:06:10.760] 男：昨天晚上九点。
[00:06:26.020] 女：想了想，我又不知。
[00:06:36.520] 男：是太阳。
[00:06:52.540] 女：啊，草莓吧。
[00:07:00.960] 男：我之前真的养土豆腐肉。
[00:07:03.340] 女：不是不好养的。
[00:07:05.220] 男：哦，就是这种没有羊。
[00:07:09.720] 男：谁说你谁在说？
[00:07:15.480] 女：康乃馨。
[00:07:17.560] 男：康乃馨的花期。
[00:07:27.620] 女：呃，迷迭香好像。
[00:07:35.460] 女：真的好痒。
[00:07:39.240] 女：然后。
[00:07:40.360] 女：然后跟外婆之后，你还。
[00:07:42.560] 女：嗯，好的。
[00:07:47.220] 女：没办法。
[00:08:01.760] 女：啊，刚才也是甜的。
[00:08:07.460] 女：男生的话都比较那个。
[00:08:09.400] 女：Angle. 
[00:08:15.700] 女：这个是甜的嘛，喜欢甜的就放多两片叶子，不喜欢甜就不要放，没有增加酸甜香橙一片子。
[00:08:24.200] 男：有山楂，我说出来了。
[00:08:29.760] 女：他熬夜去两天。
[00:08:38.300] 男：啊，这个金银花和决明子的味道好一点。
[00:08:41.483] 女：好经典。
[00:08:49.060] 男：我我宿舍那个应该是没有放牛排。
[00:08:54.080] 男：我国有一套兵。
[00:08:55.700] 女：好的好的。
[00:08:57.000] 男：金银花、桂花、菊花和决明子。
[00:09:01.760] 女：不太能喝。
[00:09:03.200] 女：红米家菊花店。
[00:09:07.780] 女：如何？
[00:09:08.350] 女：他说。
[00:09:11.500] 男：等宿舍喝完了再。
[00:09:54.620] 女：哦。
[00:09:55.780] 女：来学校之前，我看。
[00:10:38.680] 女：两边都有。
[00:10:47.760] 男：我觉得头发比较薄。
[00:10:55.280] 女：真了不起，对他卖卖完了。
[00:10:57.800] 女：我的不在。
[00:10:58.900] 女：理发型就用这一款，有没有？
[00:11:03.340] 女：没有工作了，不安全。
[00:11:05.300] 女：好的话，你不想要这个了，是吧？
[00:11:08.500] 女：哎呀，款就是。
[00:11:11.240] 女：这个也是很。
[00:11:12.480] 女：很柔软的。
[00:11:32.180] 男：自来卷也能用嘛？
[00:11:33.606] 男：对对对。
[00:11:34.217] 女：因为它很柔顺。
[00:11:51.020] 女：这29.9块的没有价格。
[00:12:10.420] 女：我先看一下，这个是。
[00:12:24.420] 女：你走完。
[00:12:39.540] 男：我要多久？
[00:12:40.724] 男：矛。
[00:12:53.100] 女：你找一下找一下。
[00:12:58.080] 女：喝过到了。
[00:12:59.700] 男：等一下你喝醉了。
[00:13:05.500] 女：激情怎么可能是。
[00:13:08.480] 女：他在陪我。
[00:13:12.060] 女：给我。
[00:13:13.000] 女：他没给我。
[00:13:18.220] 女：哦，我得买个这个。
[00:13:19.960] 女：哎，不对，前面厅在哪？
[00:13:22.480] 男：洁面巾。
[00:13:23.645] 女：嗯洁面巾。
[00:13:27.500] 女：买得到我买。
[00:13:30.000] 女：我决定要。
[00:13:40.280] 女：稍等稍等稍等。
[00:13:44.240] 女：你会帮忙。
[00:13:56.240] 女：别的呢？
[00:13:58.000] 女：中间。
