[00:00:02.460] 女：装逼这块。
[00:00:15.620] 女：还好我戴着帽子。
[00:00:17.260] 男：好冷。
[00:00:23.700] 女：怎么这么快呀？
[00:00:32.000] 男：帽子掉啊。
[00:00:40.060] 女：收到。
[00:00:48.140] 女：什么不好意思？
[00:00:49.374] 女：你有不好意思过吗？
[00:01:10.580] 男：明天中午。
[00:01:19.880] 女：抬头跑的方向。
[00:01:21.920] 男：现在。
[00:01:23.580] 女：我知道他有过。
[00:01:26.420] 女：没有注意到他具体的时间。
[00:01:29.780] 女：应该有说那个也不是说他去不了要干嘛。
[00:01:32.980] 男：对呀。
[00:01:39.020] 男：他他是那个。
[00:01:42.160] 男：按他的话。
[00:02:02.680] 女：这牛吧，应该是。
[00:02:08.760] 女：喜羊羊里面不是有一个牛角色嘛，头上顶着两个角。
[00:02:15.480] 女：就是从中间岔开两边，然后往上往后边旅。
[00:02:20.020] 女：那种挺好。
[00:02:24.140] 女：1米和我都可以跑。
[00:02:46.500] 男：我室友说让我用他的那。
[00:02:50.460] 男：不发。
[00:02:56.460] 男：让我用用一下他的护发素，然后用了两天他的护发素。
[00:03:05.480] 男：但他说，这是好事啊。
[00:03:08.960] 女：为什么呀？
[00:03:24.680] 男：他说可以软化。
[00:03:30.760] 男：我感觉他说的有道理。
[00:03:47.680] 男：我想了一下，我我就我决定还是选。
[00:03:57.500] 女：真不真不抽象。
[00:03:59.020] 女：相对来说。
[00:04:02.360] 男：抽奖的等明天吧。
[00:04:04.980] 女：要。
[00:04:06.460] 男：我也过了。
[00:04:12.120] 女：对呀。
[00:04:14.580] 女：我是那种那种会动。
[00:04:16.600] 女：头上到地。
[00:04:18.040] 女：等礼物的。
[00:04:19.220] 男：人吗来说。
[00:04:22.040] 女：我伤心了。
[00:04:25.400] 男：难说。
[00:04:26.089] 男：伤心了物以类聚吗？
[00:04:28.846] 女：伤心了。
[00:04:31.580] 女：很好看。
[00:04:33.700] 男：啊，这个这个也是属于利。
[00:04:40.920] 男：我骑自行车进。
[00:04:48.280] 男：好的。
[00:04:51.580] 男：考题的话，我就拐进去了。
[00:04:53.760] 女：能拐吗？
[00:04:54.652] 男：能拐啊，真能拐吗？
[00:04:56.733] 女：好奇吗？
[00:04:57.625] 女：好奇。
[00:05:02.020] 男：没事，大家调个。
[00:05:04.500] 女：我要被监控。
[00:05:18.160] 女：你晚上来过吗？
[00:05:20.280] 男：晚上来不及。
[00:05:23.580] 男：我这里晚上来过一。
[00:05:53.000] 女：乱斗。
[00:05:58.200] 女：我来他会。
[00:06:06.140] 女：琥珀尔。
[00:06:08.620] 女：水位好高啊。
[00:06:10.960] 女：你不觉得华山里面那个湖的水高了吗？
[00:06:14.140] 男：是啊。
[00:06:18.760] 男：外面这个水位高了，我觉得还好理解，里面那么小的。
[00:06:24.280] 男：他变高了。
[00:06:25.016] 男：我。
[00:06:37.220] 男：那是月湖公园的那。
[00:06:47.020] 女：湖心啊。
[00:07:41.620] 女：那柱子上面刻的却是粒子。
[00:08:22.660] 女：好看呀，这里。
[00:08:25.080] 女：对呀。
[00:08:33.660] 女：有一种坐摩托的。
[00:08:40.880] 女：妈妈把他。
[00:08:43.880] 女：以前我我们都是坐摩托车出去玩。
[00:08:53.520] 女：以前可以补充的人是啊。
[00:08:58.620] 女：以前都是五个人走。
[00:10:13.160] 女：这个你能搬过去吗？
[00:10:19.820] 男：现在学校的周边的路而已。
[00:10:23.060] 女：喂。
[00:10:25.420] 男：不跑远基本上都用。
[00:10:28.760] 女：嗨，你好。
[00:10:33.060] 女：是不是今天出来溜出来吃甜品？
[00:10:36.520] 女：是啊，真的吗？
[00:10:38.560] 女：你都在图片里了吗？
[00:10:40.380] 女：你不是租电瓶的吗？
[00:10:42.080] 男：有的时候。
[00:10:51.940] 女：给不了你的朋友说。
[00:10:56.300] 男：放低一点也。
[00:10:59.640] 女：你那个轮太大。
[00:11:01.500] 女：黄小黄，小的蚊子比你好像还小一点，那个我都。
[00:11:15.540] 女：我的出租车是共享单车的那样。
[00:11:18.827] 女：那。
[00:11:33.460] 女：那你带走吗？
[00:11:37.000] 女：在干嘛？
[00:11:41.940] 女：透明的。
[00:11:43.520] 女：你有没有去过上海？
[00:11:46.440] 女：太好了。
[00:11:50.920] 女：他说，我这边的人难道是个少年宫的？
[00:11:54.700] 男：哦。
[00:11:55.920] 男：小学的时候去过。
[00:11:58.040] 男：我小学的时候在上上年中托管。
[00:12:04.880] 女：相当于。
[00:12:06.040] 女：很快吧。
[00:12:14.780] 男：那个时候那个时候。
[00:12:31.460] 男：没什么用啊，你这。
[00:13:58.220] 女：你怎么知道那个头像的东西？
[00:14:01.580] 男：呃，我。
[00:14:05.220] 男：真是啊。
[00:14:16.420] 男：他那个楼上面。
[00:14:17.560] 男：有一个之前有一个蓝。
[00:14:29.120] 男：我那个作用。
[00:14:33.940] 男：找不到路了，就就看。
[00:14:36.060] 男：找一个开阔的。
[00:14:40.340] 男：到那个牌子。
