[00:00:01.400] 女：哦。
[00:00:05.280] 女：又回到了。
[00:00:08.680] 男：刚刚那会儿我看丽蝶了。
[00:00:13.860] 女：嗯，哼嗯哼哼。
[00:00:16.360] 女：没有你我看今晚也是说不完的。
[00:00:20.840] 女：我昨天晚上想想打开电脑看表格的嗯，昨天还是前天晚上，然后我。
[00:00:28.040] 女：桌面好多东西挡着电脑了，然后开了胶条死机要。
[00:00:32.428] 男：不改天我帮你弄一下桌面美化吧。
[00:00:36.940] 女：你倒不用。
[00:00:38.380] 男：我那个电脑桌面电脑桌面。
[00:00:42.000] 男：我我我我下了几个桌面美化的插件。
[00:00:46.220] 男：现在常住在桌面上的只有三个文件夹。
[00:00:49.250] 女：你会在我的桌面看到非常热乎的一个动作。
[00:00:52.800] 男：嗯。
[00:00:54.180] 女：啊，算了算了算了。
[00:00:55.620] 女：一个重要。
[00:00:58.420] 男：然后我我那上面就是整完之后，我把那些所有格子都丢到那个隐藏栏。
[00:01:04.940] 男：隐藏栏里，然后用的时候在隐藏栏里分类去找。
[00:01:09.340] 男：然后那种比如说最近要处理的文件，我就给他拖到桌面上。
[00:01:14.200] 男：等处理完了再把这个丢掉删掉。
[00:01:18.400] 男：我有强迫症啊。
[00:01:20.275] 女：天啊。
[00:01:22.360] 女：那个奶茶的味道。
[00:01:27.640] 女：删掉了。
[00:01:34.440] 男：这下好了，本来还纠结什么时候回肇庆剪头发。
[00:01:39.820] 女：我服了。
[00:01:40.508] 男：真的到时候我捡了好多。
[00:01:42.802] 女：我那老板到时候可能都没什么没什么发挥空间了。
[00:01:48.440] 女：再等他留一下。
[00:01:50.540] 男：我等等到下周五过了之后，我就可以回去，我就我就要回去剪头发。
[00:01:58.980] 女：说到老板，又想起了故人。
[00:02:02.120] 男：到时候如果他那个中国思想史让你。
[00:02:05.860] 女：有可能学分替换，我希望他在我身份替换到本广州本校去这套课。
[00:02:11.683] 男：如果如果不能替换的话。
[00:02:14.040] 男：你就你就那门课请代课吧，然后到时候周一我陪你回去上。
[00:02:19.960] 女：他都没课了，怎么挺耐克呢？
[00:02:22.573] 女：嗯，他都没课了。
[00:02:23.999] 男：就给你换成肇庆了。
[00:02:25.900] 女：怎么会啊？
[00:02:26.850] 男：其他的嘛我。
[00:02:28.039] 女：觉得不太不太现实。
[00:02:30.120] 女：他要是这样，我就要闹了。
[00:02:32.660] 男：闹再闹，到时候拿不到毕业证，你看是他闹还是你闹。
[00:02:38.080] 女：呃，我我这个我这个学姐她就是嗯跟我一样，哎，她跟我说我才想起来她也是她也是大二下的课挂了。
[00:02:46.120] 女：然后他现在大四延毕。
[00:02:48.580] 女：他他他已经他已经毕业了，还得找代课。
[00:02:56.420] 男：到时候周一陈哥的课，陈哥的课，如果确定要回去上的话，陈哥的课你就。
[00:03:02.840] 男：嗯，我个人建议啊。
[00:03:05.740] 男：累一点吧，别请代课了。
[00:03:09.400] 男：对吧你想想请个代课，一个学期少说400起步吧，可以买四个瓦。
[00:03:14.567] 女：主要是不稳定。
[00:03:15.920] 男：到时候可以找零食了嘛。
[00:03:17.967] 女：主要是不太稳定。
