[00:00:00.000] 男：我只有这种三种情况下才出手嗯。
[00:00:15.080] 男：你先把车退出来。
[00:00:22.640] 女：好吧。
[00:00:32.700] 女：你慢慢。
[00:00:44.880] 女：你要去哪里？
[00:00:46.067] 女：回去吗？
[00:00:47.640] 男：肯定也要往回走才能找到吃的吧。
[00:00:51.420] 女：困了。
[00:00:52.760] 女：你多说的平台上好一点啊。
[00:01:09.260] 男：谢谢。
[00:01:10.440] 男：可以不用陪我了。
[00:01:14.320] 男：我说就不说不用。
[00:01:16.440] 女：不可以啊，你可以趴着。
[00:01:20.860] 男：想陪就陪吧，你怎么高兴成了老婆？
[00:01:30.380] 男：就是这个事情。
[00:01:34.100] 女：我一般不说，只是担心这种事情会影响别人跟我相处时候的一些。
[00:01:43.300] 女：因为因为我在整个中学基本上都是被被我的一些老师当做精神病去看待的，然后就让我让我觉得很不高兴。
[00:01:53.440] 男：没关系啊，那这一点我们是。
[00:01:57.620] 男：但是有共同的。
[00:02:00.200] 女：你别是吧？
[00:02:01.033] 女：不是我初中那会儿。
[00:02:02.699] 男：他们都觉得我被霸凌是我自己的问题，为什么他们只霸凌我不霸凌别？
[00:02:09.780] 男：对呀，所以我我很讨厌那种受害者有罪论的说法和观点。
[00:02:14.809] 男：嗯，对对，我们主要是。
[00:02:16.558] 女：不希望我我做出一些什么行为，会让别人联想到啊就是他怎么怎么样。
[00:02:23.280] 女：然后这个组织会对我有点意见。
[00:02:27.220] 女：如果如果如果掉色的话，我倒是不介意。
[00:02:30.680] 女：公开会。
[00:02:33.380] 男：其实我现在觉得。
[00:02:36.140] 男：就算。
[00:02:37.520] 男：就比如说我跟别人之间发生的事情公开的话。
[00:02:41.880] 男：对对，影响不好的那种吗嗯？
[00:02:48.360] 男：我现在的选择，如果我还在学校。
[00:02:51.560] 男：那我就不会顾及别人怎么想的，只要。
[00:02:54.980] 男：就是类似于一种只要我爽了完。
[00:03:00.280] 男：为什么会这样？
[00:03:02.160] 男：因为我饿。
[00:03:05.820] 女：不要好冷。
[00:03:07.920] 男：那你爬上来吧。
[00:03:09.640] 女：到你要我拍下来吗？
[00:03:14.240] 女：你要我拍下来吗？
[00:03:16.880] 男：要。
[00:03:18.020] 女：这条我拍下来就怕我冷啊。
[00:03:20.800] 男：都有。
[00:03:23.840] 男：都有。
[00:03:30.100] 男：我。
[00:03:31.720] 男：我现我的定位。
[00:03:34.100] 男：我以后我肯定是。
[00:03:37.200] 女：对呀。
[00:03:38.560] 男：考公要考。
[00:03:39.737] 女：就考啊。
[00:03:41.620] 男：我能想象得到我选择的是一条什么样的路。
[00:03:46.285] 男：如果进了体制内。
[00:03:48.240] 男：是平庸的过一生，还是想慢慢往上？
[00:03:51.320] 男：平庸的过一生，那我就不用操心。
[00:03:54.520] 女：你应该会是那种慢慢往上走的那种。
[00:03:57.680] 男：往上走，对。
[00:03:58.757] 女：说不定我还会走走着跳槽去了。
[00:04:04.160] 男：你的内。
[00:04:05.620] 男：就是你刚刚说的。
[00:04:08.320] 男：对，文学类的那些人。
[00:04:17.820] 男：不多谈吧。
[00:04:19.900] 男：一起文学圈里都有那些？
[00:04:22.300] 男：你管你。
[00:04:23.500] 女：占比太大了。
[00:04:25.560] 男：那权力圈我觉得就。
[00:04:29.400] 女：肯定全是，但是他他们至少相对。
[00:04:33.540] 女：纯粹一点，不会不会伪装成一种人模狗样的样子。
[00:04:37.653] 男：难说在在。
[00:04:38.475] 女：在那在那儿说，哎呀，你想怎么怎么样，你是怎么怎么样。
[00:04:47.140] 女：所以都挺烂的。
[00:04:54.020] 男：我还我感觉我还算是一个。
[00:05:00.200] 女：跟我玩到一块的人多少都有点。
[00:05:15.060] 男：我跟你讲个事。
[00:05:17.380] 男：你知道为什么我感觉到。
[00:05:21.020] 男：就是。
[00:05:23.200] 男：大二的时候，在决定考公的时候，我我只想回少管，我想回少馆待着。
[00:05:31.120] 男：因为韶关。
[00:05:32.800] 男：我老爸能照顾得到。
[00:05:36.320] 男：哦，我要。
[00:05:37.660] 男：然后过来这边待了拜。
[00:05:40.080] 男：太舒服了。
[00:05:42.260] 男：这一方面是我很喜欢。
[00:05:45.180] 男：这里离广州近嗯。
[00:05:52.880] 男：然后这里也很。
[00:05:55.580] 男：但是那个时候我还没有。
[00:06:02.460] 男：嗯，因为我感觉这毕竟是广。
[00:06:05.860] 男：然后。
[00:06:07.280] 男：是什么时候呢？
[00:06:08.972] 男：就是我把。
[00:06:10.620] 男：我对你有好感之后，嗯，然后有一次聊天的时候。
[00:06:15.000] 男：我觉得聊到以后的话题。
[00:06:18.400] 男：那就在广。
[00:06:20.460] 男：然后我才是。
[00:06:22.140] 男：我是认真的思考了一下。
[00:06:24.920] 男：如果我想考公务员的话，我能不能。
[00:06:27.960] 男：有机会留在干。
[00:06:31.140] 男：然后我才去了解了这。
[00:06:34.000] 男：当然啊，那个时候。
[00:06:36.140] 男：那个时候我们还没有。
[00:06:40.020] 男：那么。
[00:06:44.220] 男：所以那个时候只是我自己。
[00:06:47.480] 男：因为我。
[00:06:51.500] 男：怎么说呢？
[00:06:56.860] 男：我我其实因为。
[00:07:00.020] 男：我底子里还是比较自卑。
[00:07:08.260] 男：所以我知道。
[00:07:10.380] 男：突然想到。
[00:07:12.100] 男：呃，看你写的东西和画的东西，我觉得。
[00:07:18.660] 男：那带我的。
[00:07:22.360] 男：很有才华的，然后然后然后感觉这把出这一堆事情很很容易把人弄崩溃了。
[00:07:29.627] 男：然后我觉得。
[00:07:31.940] 男：你状态啊什么的也比我要。
[00:07:34.740] 女：哎，哎，这个我不否认啊。
[00:07:37.060] 女：对啊，这个我无所谓。
[00:07:38.669] 女：你你。
[00:07:39.071] 男：心理状态，你你真的很坚强，没有没有没有说是什么奉承什么的，我真的是发自内心的这样。
[00:07:46.514] 女：想奉承什么。
[00:07:47.660] 男：呃，头就是没有没有说是为了碰头。
[00:07:53.160] 男：就真的就是八字。
[00:07:58.220] 男：然后呃我我其实我有点数落我就是为什么我我发现自己为什么为什么对你有好感，我还我还我还那时候去专门。
[00:08:10.620] 男：想了想了很久，你知道吧？
[00:08:12.813] 男：我还想了一个多星期，快半个月，我真服了，很纠结。
[00:08:18.220] 男：对，因为。
[00:08:20.220] 男：不是，就是。
[00:08:22.340] 男：正常可能正常人完全不会去想为什么自己会对一个人有好感，或者是想那么久想那么久。
[00:08:30.520] 男：呃，可能是跟跟跟。
[00:08:33.200] 男：前任谈恋爱的那个关系，所以我觉得我必须要搞清楚。
[00:08:37.320] 男：然后我要看。
[00:08:39.560] 男：自己是对你是是跟你相处，是因为合拍上头还是真的？
