[00:01:23.020] 女：我是有。
[00:01:53.360] 男：别老看我。
[00:01:54.300] 男：我脸上。
[00:01:55.880] 女：你看着我玩。
[00:01:58.200] 女：害羞了？
[00:02:00.980] 女：不会吧。
[00:02:03.120] 女：不害怕。
[00:02:04.040] 女：完蛋了，不知道他不看。
[00:02:08.180] 女：后面那个。
[00:02:09.620] 男：软件。
[00:02:15.100] 女：再看脸红的。
[00:02:16.457] 女：回到。
[00:02:27.140] 女：三三乐。
[00:02:42.260] 男：我得看看明天晚上的。
[00:02:50.920] 男：好讨厌。
[00:02:55.380] 男：真的快手。
[00:02:56.193] 男：真的。
[00:03:03.380] 女：凌晨不是更加吗？
[00:03:11.600] 男：就是我看快手就是为了。
[00:03:14.200] 男：看个比赛。
[00:03:16.120] 男：然后。
[00:03:24.320] 女：发布了。
[00:03:29.620] 男：不过来，我每次这种我都点都不感兴趣。
[00:03:33.820] 女：你看到一些未成年失恋上海，你会不会觉得很糟糕？
[00:03:38.100] 男：我感觉好悲哀。
[00:03:43.620] 女：你要是说是那种成年人夏天那种黑色，我真的都还挺能接受。
[00:03:48.080] 女：没看到未成年自愿下海，我我也我也受不了。
[00:04:19.960] 女：等到我回忆。
[00:04:23.200] 女：这感觉好诡异。
[00:04:53.980] 男：走了19000。
[00:05:23.500] 女：装的。
[00:05:32.380] 女：我是吃饱了就吃不下去了。
[00:05:43.660] 女：不知道。
[00:05:44.880] 男：他们一直。
[00:05:45.740] 男：回来吧。
[00:05:46.255] 女：为什么VP爱玩，但我好像不太玩，好像是那种老感觉是老玩家比较喜欢玩。
[00:05:54.200] 女：那那种什么boss比较全的。
[00:05:57.240] 女：聊天着无聊的。
[00:06:04.640] 男：什么鬼？
[00:06:05.500] 男：这一个月花了两。
[00:06:07.340] 女：大了大了大了掉。
[00:06:16.840] 女：哪一个啊？
[00:06:21.820] 男：只能打2。
[00:07:05.220] 女：没事啊，我已经到了加油站。
[00:07:11.900] 女：反正不管我就。
[00:07:15.840] 女：走了，弟弟。
[00:07:20.620] 女：哎，我是你弟弟吗？
[00:07:22.125] 女：我。
[00:07:23.760] 女：很诡异啊。
[00:07:27.520] 女：没有这种。
[00:07:38.840] 女：吃不下，好恶心。
[00:07:48.840] 女：我只要姐姐我不想要个弟弟好吗？
[00:07:59.040] 女：别忘了你这个这个量。
[00:08:03.200] 女：没有。
[00:08:16.620] 女：这我都不吃吗？
[00:08:17.835] 女：带谁？
[00:08:24.580] 女：你们怎么了？
[00:09:06.380] 女：不好闻味道。
[00:09:14.040] 女：他走了。
[00:09:15.260] 女：不太会放。
[00:09:19.280] 男：没有。
[00:09:21.560] 男：不会有下次。
[00:09:25.460] 男：你想啥呢？
[00:09:27.020] 女：有点冷，你看吧。
[00:09:50.420] 男：他妈的。
[00:09:51.380] 男：你表哥干嘛？
[00:10:10.020] 女：看看嘛。
[00:10:11.460] 男：看人啊。
[00:10:17.920] 男：嗯。
[00:11:24.860] 男：你对。
[00:11:30.640] 女：乱揣测那个没有的。
[00:12:19.800] 女：你这是没有点点啊。
[00:13:40.420] 女：你好。
[00:13:44.300] 女：嗯。
[00:13:45.220] 女：不冷吗？
[00:13:46.036] 女：不冷。
[00:13:47.000] 男：你刚你刚刚不是那个。
[00:13:51.000] 女：你骗不过我。
[00:13:54.640] 女：碧桂园中心就这个就是这个地方。
[00:14:00.380] 女：还是对对。
[00:14:03.120] 女：嗯。
[00:14:09.460] 男：要买裤子吗？
[00:14:11.300] 女：看你。
