[00:02:27.480] 男：不要啊。
[00:04:36.660] 女：不介意。
[00:04:40.280] 男：热烈的。
[00:04:50.880] 女：我不对呀。
[00:04:57.000] 男：你不介意跟。
[00:05:20.780] 女：和他给。
[00:05:26.020] 女：观察你看镜子就够了呀。
[00:06:18.460] 男：Go, go, go, go. 
[00:06:19.642] 女：go, go, go, go, go. 
[00:06:26.580] 女：你听得懂吗？
[00:06:29.020] 男：简单的数量。
[00:06:36.820] 女：真棒。
[00:06:57.180] 女：我不用的看到。
[00:07:01.540] 女：报道了。
[00:07:08.860] 女：但是这个。
[00:07:16.360] 女：看着就没食欲啊啊。
[00:07:18.941] 男：我不要吃那个了。
[00:07:22.600] 男：改天我要。
[00:07:29.260] 男：接受那家咖喱面，我觉得。
[00:07:38.820] 女：哦，你说过的。
[00:07:43.240] 男：怎么也想干。
[00:07:50.400] 女：呵呵呵这学期。
[00:07:52.840] 女：目前还没空呢。
[00:08:00.600] 男：现在所有的稿子。
[00:08:03.120] 女：就是那种我拖了好久而已。
[00:08:08.500] 男：还有其他的。
[00:08:14.480] 女：游戏班的我也在。
[00:08:16.420] 女：我我发现那老天爷不给我过。
[00:08:24.780] 男：不想干。
[00:08:25.380] 女：我是想干的，就是我想干和我我我有没有做到那个事情。
[00:08:30.120] 女：但他没有正向管。
[00:08:39.360] 男：也不至于比。
[00:08:41.080] 男：不好意思。
[00:08:42.760] 男：没有比。
[00:08:46.920] 女：谢谢张老师。
[00:08:52.860] 女：我操我昨天晚上给你。
[00:08:54.880] 女：登他的课表说特别忐忑。
[00:08:58.180] 男：你不会觉得我是那种。
[00:09:00.400] 男：可以用。
[00:09:04.220] 女：嗯，倒不是可能。
[00:09:06.720] 女：可能可能我有某种的心理阴影吧。
[00:09:11.300] 男：你知道吗？
[00:09:14.780] 男：你这样，我说我只会有点强迫症，我只会有有。
[00:09:21.020] 男：我比较介意的就是强迫症和强迫症有关的。
[00:09:24.492] 女：然后然后就强迫他，我他老师别生气，我别理我，别嫌弃我，别嫌弃我。
[00:09:30.580] 男：不会呀。
[00:09:31.800] 男：因为啊我。
[00:09:37.820] 男：中考那个时候也是表。
[00:09:44.900] 男：所以我是。
[00:09:47.460] 男：真的很讨厌当今这个钓鱼。
[00:09:55.100] 女：我怕我我当时被一个老师骂，就是如果到时候班主任他就马上我退。
[00:10:01.940] 女：到底什么能力？
[00:10:04.820] 男：我那时候小学的时候。
[00:10:07.280] 男：在转学生。
[00:10:09.060] 男：被班主任拎上去喊五大军。
[00:10:11.755] 男：刚。
[00:10:12.760] 男：这个就算了。
[00:10:14.520] 男：他还小学的时候，让我们。
[00:10:17.420] 男：站在那里一个一个的拍照。
[00:10:20.520] 男：然后呢。
[00:10:21.920] 男：手机拍视。
[00:10:24.120] 男：发给家长说这是谁谁谁的小孩。
[00:10:27.611] 男：他。
[00:10:28.260] 男：为什么被罚的？
[00:10:29.600] 男：我被拍过。
[00:10:37.360] 男：我感觉我最不堪的老师的最。
[00:10:40.620] 男：最好的老师我都见。
[00:10:43.460] 女：我也算是。
[00:10:45.620] 男：我小学。
[00:10:48.020] 男：入学的时候，语数英三科都是60。
[00:10:52.460] 男：英语的。
[00:10:54.880] 男：然后。
[00:10:56.580] 男：那时候插班生把我放到。
[00:10:59.540] 男：到时候。
[00:11:01.820] 男：我从来没有在一个外人身上感受过。
[00:11:06.820] 男：我还要。
[00:11:08.080] 男：亲切的高。
[00:11:09.460] 男：然后给我那个照顾的人，就是我小学。
[00:11:17.220] 女：不哭了好不好？
[00:11:18.393] 女：再见了。
[00:11:28.740] 女：我睡觉了。
[00:11:31.220] 女：不懂你就过来。
[00:11:53.980] 男：那个好。
[00:12:07.620] 男：啊，那个英语老师当时非常。
[00:12:11.900] 男：得不到。
[00:12:13.680] 男：然后是一个很很大的一个。
