[00:00:00.000] 男：东西是女主一个人在失言了。
[00:00:02.144] 男：你走个。
[00:00:18.080] 男：我觉得他。
[00:00:20.760] 女：这个他他他只是把事情。
[00:00:24.220] 女：抛开给你看。
[00:00:26.320] 女：然后对于对于你要下你要下什么样的判断，你想要怎么结算？
[00:00:30.991] 女：现在的观众他这个感觉还蛮好。
[00:00:34.540] 女：然后我在看之前是看到很多人批判说结尾缺房地产，但也有人说这个才是真正的试探探讨那。
[00:00:43.340] 女：你看你的灰色的那个。
[00:00:46.220] 男：挺难的。
[00:00:47.840] 女：那反正。
[00:00:49.280] 女：无论如何都看。
[00:00:53.866] 男：的人很。
[00:01:11.080] 男：做饭也会做很好的。
[00:01:14.880] 女：你在你无论站在谁的位置上，就是啊你不也不能比谁。
[00:01:20.140] 女：你开心。
[00:01:23.620] 女：但是但是你要是考虑到受害人的处境，你会觉得很痛。
[00:01:37.620] 女：啊，大一点。
[00:01:39.873] 男：在哪？
[00:01:42.080] 男：突然动了一下，我还以为你又要打我。
[00:01:50.780] 女：说你。
[00:01:52.020] 女：这个是什么？
[00:01:53.680] 女：喝茶的。
[00:01:56.560] 男：可以啊。
[00:02:06.860] 女：人家为什么能当老师啊？
[00:02:10.580] 男：人家为什么能当老？
[00:02:17.920] 女：这个喝啥？
[00:02:20.000] 男：我感觉像是。
[00:02:22.060] 男：咖啡或者一些通乳茶之类。
[00:02:25.920] 男：你知道为什么能帮我？
[00:02:32.760] 男：没有人家当。
[00:02:41.120] 男：考试，现在的教育阶段，他只能区分一个人。
[00:02:47.880] 男：肯定是。
[00:02:49.140] 男：感觉好好。
[00:02:50.560] 男：个人的道德。
[00:02:51.820] 女：为啥你干活呢？
[00:02:55.520] 男：因为。
[00:03:00.440] 男：太大了。
[00:03:07.500] 女：啊，我老的，我明天到。
[00:03:14.220] 男：这是水管崩掉也好。
[00:03:16.740] 女：嗯，我牙还挺好的。
[00:03:19.100] 女：想试试。
[00:03:24.020] 女：你别叫我。
[00:03:25.600] 男：他被你咬了。
[00:03:27.240] 女：你骗我。
[00:03:28.500] 女：干嘛你别跳啊。
[00:03:30.720] 男：我肯定。
[00:03:35.220] 男：成熟稳重。
[00:03:54.000] 女：点到为止。
[00:03:56.300] 男：你说刚刚那个话题吗？
[00:03:59.320] 女：不是，这里面很多东西他都点到为止。
[00:04:02.440] 女：嗯，看得出来。
[00:04:04.760] 男：看完看完这。
