[00:00:09.060] 女：嗯，你先弄。
[00:00:10.560] 女：嗯。
[00:01:14.720] 女：有有点奇怪。
[00:01:17.860] 女：这个课程名称是人工智能伦理语言与伦理。
[00:01:21.956] 女：但是我在重庆那边选的是。
[00:01:24.600] 女：大学计算机基础。
[00:01:26.440] 男：嗯，那那现在是怎么说。
[00:01:28.802] 女：你倒霉，让我看看。
[00:01:30.880] 女：他他说这个是属于通识课，就属于是上周要提交的那个那个课程。
[00:01:37.040] 女：嗯，然后他我看缺了哪个学生。
[00:01:40.120] 男：然然后现在是其他的呢，你有跟他讲其他问题吗？
[00:01:45.167] 男：好。
[00:01:45.560] 女：他他说你自己没看通知，稍等我对清楚是。
[00:01:51.500] 女：这是两学分的。
[00:01:54.660] 女：好。
[00:01:59.640] 女：确实不是一个，这个是他说这个是不能重修，这个是要补选的。
[00:02:05.800] 女：然后补选我已经错过时间了。
[00:02:08.101] 男：补选其实没关系，下学期。
[00:02:12.860] 男：你你要登上去再查一下。
[00:02:15.020] 女：我已经已经在场，有病。
[00:02:22.320] 男：中国思想史那个。
[00:02:24.900] 男：看看要改成。
[00:02:26.500] 女：你看这个。
[00:02:48.320] 女：那你就这样。
[00:02:51.800] 女：你前面这个1到5这个才。
[00:02:54.200] 女：就是应该也。
[00:03:20.360] 女：确实是公共课。
[00:03:23.080] 女：他不是通识课。
[00:03:25.860] 男：公这个可以先不管，好吧。
[00:03:29.060] 女：老师让我自己查清楚。
[00:03:30.842] 女：学。
[00:03:32.540] 男：这样公选课。
[00:03:34.260] 女：对啊，公共课不在那个通识课的读写范围里啊。
[00:03:38.480] 女：对吧？
[00:03:41.380] 女：你看没有。
[00:03:49.200] 男：嗯嗯，你跟老师说开心。
[00:04:01.500] 女：呃，他他那个是公共课。
[00:04:05.460] 女：他那个是公共课。
[00:04:08.820] 女：公共汽车什么意思？
[00:04:11.300] 女：就是就是那个群里面的通知是补选的，是通识教育课。
[00:04:15.616] 女：但是这但是我这个课它不是通识课，它是公共课。
[00:04:19.540] 女：然后它是两学分的公共课又是哪种课？
[00:04:22.679] 女：是你的专业课还是专业选修课，还是就分专业，专业必修，专业选修，其他的课，其他的课，那就是补选呀，也是补选的吗？
[00:04:32.180] 女：这是你自己选的那个课，每个人不一样，有的人是网上。
