[00:00:00.000] 男：你看我我大妈妈和二妈妈他们。
[00:00:03.340] 男：真的特别。
[00:00:07.280] 男：特别好笑。
[00:00:11.480] 女：我去。
[00:00:13.940] 男：黑点斑鸠，然后我干妈咪，还有大妈咪。
[00:00:31.240] 女：吧好啊。
[00:00:31.976] 男：我感觉走一圈我应该就挺久。
[00:00:36.020] 女：我很开心。
[00:00:38.120] 男：但是我还是很。
[00:00:47.760] 女：喂。
[00:00:48.760] 女：他都不会的。
[00:00:56.880] 男：你在搞的。
[00:01:00.740] 女：跟你说了。
[00:01:08.820] 女：都都是都是踏踏实实去的，好吧。
[00:01:18.100] 女：是的，那个问题问的。
[00:01:32.020] 女：我不想把这种。
[00:01:33.940] 女：这这两种坏。
[00:01:35.880] 女：放大一个天。
[00:01:37.920] 女：你要问我，你觉得哪一版的更痛，然后把痛的那一段拿一个别的不要的。
[00:02:01.840] 女：嗯。
[00:02:46.220] 女：The lower. 
[00:02:47.960] 女：No, 太阳。
[00:03:09.460] 男：不想。
[00:03:49.220] 女：好死不死，天天想得上我呀。
[00:03:52.540] 女：对吧？
[00:03:53.580] 女：你喜欢上别人，真的有这种烦恼了。
[00:03:59.020] 女：没在想，我操在前面小区。
[00:04:12.540] 男：我妈他们过年的时候一直在八卦，她都。
[00:04:16.360] 男：我到底是在给谁？
[00:04:20.280] 男：我说你们别管。
[00:04:24.060] 女：你知道吗？
[00:04:24.902] 女：我过年也被也被姐夫说了。
[00:04:27.360] 女：我在看你表哥的女朋友了，都拍什么结婚照了？
[00:04:31.900] 女：你也该谈一个了，我觉得他好烦哦。
[00:04:36.860] 女：他他和我表姐都是在华南出来。
[00:04:41.040] 男：姐姐也是吗？
[00:04:42.358] 女：嗯，都是在华山。
[00:04:44.080] 女：三三个吧。
[00:04:46.080] 女：东城中学一直。
[00:04:49.420] 男：不可篆刻的无所谓。
[00:04:53.620] 男：去年研究生博士有。
[00:04:55.820] 女：然后然后我然后有时候有一些有一种想法就是。
[00:04:59.840] 女：哎呀，然后就应付他搞个到100个。
[00:05:03.380] 女：很搞笑嗯，把大象拉过去见了。
[00:05:08.920] 男：如果需要的话，可以。
[00:05:11.085] 女：啊不要老习惯啊。
[00:05:15.100] 女：然后然后你要单身。
[00:05:17.300] 女：用他的那个横扫横扫千军的话术。
[00:05:21.580] 女：谢谢讨好我的亲戚，然后都。
[00:05:24.260] 女：看看。
[00:05:25.820] 女：嗯，我在学校。
[00:05:29.040] 女：然后然后我就我就我就感觉自己的想法特别好。
[00:05:39.380] 女：但其实其实我表哥，我表哥和他女朋友。
[00:05:44.920] 女：你没有很很那个啥。
[00:05:47.400] 女：我表哥当兵的。
[00:05:49.100] 男：嗯。
[00:05:49.980] 女：我怕打的。
[00:05:51.520] 女：撞了他的车我就不说了。
[00:05:53.360] 男：好。
[00:05:58.440] 男：感觉我们之间的经历和故事被。
[00:06:02.480] 女：你好像太离谱了。
[00:06:05.880] 男：畅销榜榜首。
[00:06:08.340] 男：他说别人的。
[00:06:11.000] 男：恋爱故事都是平平淡淡一天终成眷属。
[00:06:15.200] 男：你们谈个恋爱呀，山崩山盟海誓，天崩地裂一样。
[00:06:21.180] 男：可以种经历九九八十一难，都是生活。
[00:06:24.968] 男：我本来。
[00:06:25.726] 女：想着要是要是算老师。
[00:06:29.380] 女：嗯，要是要是段老师想和我做情侣之间要做的事情。
[00:06:33.780] 女：然后又需要一个要要需要一个名称的定义什么？
[00:06:37.860] 女：那也行吧。
[00:06:39.340] 男：你不要委屈自己，不要。
[00:06:41.260] 女：我觉得我觉得那也行。
[00:06:44.380] 女：然后然后然后因为因为遇到太多了。
[00:06:48.320] 女：然后又又被问这又被问那个。
[00:06:51.060] 女：然后我就然后搞得我搞得我真的。
[00:06:54.260] 女：谈恋爱到底是什么东西啊？
[00:06:56.193] 女：然后要是范艺萱愿意的话，那我试试一下吧，就试个一两个月。
[00:07:00.586] 女：然后你要不行的话，拜拜和平拜拜，然后之后该咋地还是咋地。
[00:07:05.600] 女：然后没想到这小子这么认真。
[00:07:12.160] 女：然后如果如果经历了，那我有那我也有资本去谈。
[00:07:17.020] 女：你那是什么感觉啊？
[00:07:18.410] 女：我到底喜不喜欢啊？
[00:07:21.480] 女：那到底有什么事情是在里面可以做的？
[00:07:23.802] 女：什么事情在里面是可以做？
[00:07:27.380] 男：你要听我的想法吧。
[00:07:29.721] 女：你说啊。
[00:07:32.080] 男：我也经常在网上冲浪。
[00:07:35.000] 男：我我也挺喜欢看那些。
[00:07:37.480] 男：那个电台博主他们说我印象最深一句话应该你也听过。
[00:07:43.333] 男：嗯，他说喜欢一个人就像养花，爱人如养花。
[00:07:48.340] 男：你要去。
[00:07:50.720] 男：你要去了解他。
[00:07:53.580] 男：没办法。
[00:07:55.280] 男：然后去。
[00:07:58.440] 男：就哪怕是自己过度的，哪怕自己的呵护过度了，对他造成了伤害，你要想办法去。
[00:08:06.440] 男：帮助他。
[00:08:07.840] 男：去想办法。
[00:08:09.580] 男：跟他。
[00:08:10.800] 男：化解矛盾或者。
[00:08:12.720] 男：其他什么的。
[00:08:14.280] 男：总之就是你的目的不是为了养这个花，而是。
[00:08:20.140] 男：为了让它变得更好。
[00:08:23.300] 男：会议。
[00:08:25.340] 男：我觉得我的目的不是为了跟你在一起。
[00:08:28.920] 男：怎么怎么样，而是想办法能让你。
[00:08:33.260] 男：变得更好。
[00:08:34.880] 男：但是可能说这个话。
[00:08:37.940] 男：对呀。
[00:08:38.980] 男：假的，那怎么会。
[00:08:40.307] 女：你现在在做的确实是这样。
[00:08:44.300] 女：所以我才错愕嘛，感觉人家好像没有特别需要那个那个东西，也是我们在做的。
[00:08:53.580] 女：然后就让会让我惶恐，哎，如果如果进入了，但是又没有他。
[00:08:58.660] 女：那那之前的工资还会不会有？
[00:09:11.560] 男：好羡慕。
[00:09:14.440] 男：我很羡慕谁呀？
[00:09:16.120] 女：为什么？
[00:09:18.480] 男：他的想法。
[00:09:21.360] 男：能像他一样。
[00:09:29.680] 男：愿不愿意不想让你。
[00:09:32.020] 男：会的。
[00:09:39.180] 男：因为。
[00:09:41.460] 男：因为正因为是你，你自己。
[00:09:44.600] 男：你也可以。
[00:09:49.020] 男：你你才是现在的。
[00:09:57.340] 女：不管怎么带你去医院，我回去之后也会很快。
[00:10:00.680] 女：难受了。
[00:10:02.380] 女：如果我们大一就遇见了大剧，大大一的时候就遇见了。
[00:10:07.160] 男：然后那个时候我真的是超级傻。
[00:10:09.747] 女：然后然后然后估计我很快就不谈恋爱，这么谈恋爱好无聊啊，这个分数。
[00:10:20.440] 男：那应该不是。
[00:10:22.420] 男：大二。
[00:10:24.260] 女：那应该一样。
[00:10:29.620] 男：哎呀，怎么人生这么操蛋啊。
[00:10:34.100] 男：枸泡的。
[00:10:43.980] 女：够快的。
[00:10:46.840] 女：把段玉橙拉下去。
[00:10:53.420] 男：我们在。
[00:10:55.040] 男：再多一点。
[00:11:00.580] 女：已经到过火锅了。
[00:11:04.700] 女：我在想。
[00:11:06.840] 女：你这家伙。
[00:11:08.620] 女：你在家。
[00:11:20.020] 女：你喜欢我哪里啊？
[00:11:23.960] 女：然后往哪里？
[00:11:31.540] 男：第一个就。
[00:11:42.280] 男：那时候大二刚加班的，虽然没有。
[00:11:45.580] 男：但是那个时候啊，现在想想很羞耻。
[00:11:49.760] 男：给你量自己的茶。
[00:11:52.500] 男：那个动漫啊。
[00:11:55.380] 女：什么动漫。
[00:11:56.731] 男：差评啊。
[00:11:57.744] 男：我，你。
[00:11:59.220] 男：我忘记了，但是我记得那个时候两星期会说。
[00:12:03.120] 男：你问过我为什么喜欢这个头像，然后我特别的。
[00:12:06.900] 男：哎，那个时候很很很幼稚啊，没有经历那么多事。
[00:12:11.200] 男：单纯觉得啊，你会问我这个。
[00:12:14.500] 男：或者至少至少你你也是。
[00:12:17.660] 男：你你至少你对二次二次元的看法比较包容。
