[00:00:00.000] 男：这时候能跟他们喝到6。
[00:00:01.980] 男：6两8两没有问题。
[00:00:04.680] 男：奥尔良就不行。
[00:00:12.580] 男：你可以答应我。
[00:00:14.520] 男：不要一定要在今天得出答案，我们先把明天的考试过了，好不？
[00:00:25.300] 男：真的可以吗？
[00:00:29.500] 男：我有没有让你为难？
[00:00:32.020] 女：有了。
[00:00:35.160] 女：有了。
[00:00:39.360] 男：不行啊，你。
[00:00:42.320] 女：没办法呀。
[00:00:53.760] 男：为什么你在之前跟我聊天？
[00:00:57.180] 男：列关的时候我没有想到。
[00:01:00.020] 男：为什么你之前在第一次发置顶朋友圈的时候我没有想到？
[00:01:04.980] 男：为什么。
[00:01:07.220] 女：你有自己的扛着呀。
[00:01:12.500] 男：我没有看出来，我还凭什么说我想。
[00:01:16.980] 男：我想陪你。
[00:01:30.260] 女：我道歉了好不好？
[00:01:35.860] 男：我今天还对你开了那么过分玩笑。
[00:01:39.589] 女：以后不要放就好了。
[00:01:41.960] 男：我不敢。
[00:01:42.762] 女：我要求很低。
[00:01:44.380] 男：我不会玩游戏。
[00:01:50.380] 男：不要突然说。
[00:01:54.440] 男：又要。
[00:01:55.920] 男：做任务。
[00:01:58.700] 女：你不要躲着我。
[00:02:00.692] 男：我们没有。
[00:02:03.040] 男：没有。
[00:02:10.320] 女：我的好可怜哦。
[00:02:12.120] 男：很丑。
[00:02:14.940] 男：很狼狈吧可爱。
[00:02:18.860] 女：不会的呀。
[00:02:27.080] 男：也不会。
[00:02:30.940] 男：那些表。
[00:02:38.460] 女：他要求我。
[00:02:41.680] 女：他要求我对。
[00:02:49.280] 女：嗯嗯。
[00:02:53.760] 男：这还。
[00:02:55.860] 男：想想你想让你自己静一会儿，你就会。
[00:03:02.220] 男：哦，不。
[00:03:03.560] 女：担心吗？
[00:03:04.590] 男：我没有。
[00:03:05.760] 男：我没有完全信任。
[00:03:08.820] 女：我自我调节能力很强。
[00:03:15.260] 男：我觉得不不喝酒一点点没有问题，不会影响待会儿开车回。
[00:03:20.900] 女：那可以打车呀。
[00:03:34.540] 男：因为你明天的考试。
[00:03:38.020] 女：嗯，不知道影响不影响吧。
[00:03:48.160] 男：真的很笨。
[00:03:49.840] 男：如果你以后。
[00:03:52.120] 男：如果你以后再被。
[00:03:54.260] 男：坏人盯上的话。
[00:03:57.100] 男：你本来就我会找我会。
[00:03:59.040] 女：找人求助的呀，现在不是有你了吗？
[00:04:05.000] 男：不是你也可以。
[00:04:07.740] 女：那不是更好吗？
