[00:00:01.620] 角色1：大概就是。
[00:00:12.780] 角色1：或者说。
[00:00:16.420] 角色1：出来一个人生活的话，大概。
[00:00:33.220] 女：那我现在就说嘛。
[00:00:35.020] 角色1：不用。
[00:00:50.980] 角色1：可以可以，下次再。
[00:00:56.540] 角色1：告诉我。
[00:01:02.880] 角色1：还是说。
[00:01:05.900] 角色1：不太想聊这个。
[00:01:41.580] 女：他们问到有点不太适应。
[00:01:52.100] 角色1：哭了。
[00:02:18.080] 女：你是要我现在回答吗？
[00:02:21.660] 角色1：也不用。
[00:06:12.020] 角色1：特别好像飘了。
[00:08:30.700] 女：你要在哪里工作呢？
[00:08:37.500] 角色1：到那个路口。
[00:08:39.700] 角色1：然后走。
[00:09:13.860] 女：嗯。
[00:10:28.820] 角色1：会不会要买？
[00:10:30.600] 女：嗯。
[00:12:54.760] 角色1：他在这。
[00:14:14.040] 女：你给我小卖部吗？
[00:18:29.820] 角色1：不好吗？
[00:18:30.945] 角色1：嗯。
[00:18:57.820] 角色1：买完还回这个地方吗？
[00:18:59.920] 女：都可以。
[00:24:04.420] 角色1：你找到什么了？
[00:25:42.420] 女：哦，那一米二的也没有啊，1.2米的。
[00:25:51.060] 女：等一下啊，我我想一下，先他那个裤子烂了烂了，要不要买一条V2的？
[00:25:55.900] 角色1：哪个？
[00:25:57.280] 女：这一条吧。
[00:26:04.820] 女：啊，拿了裤子赶紧过来，然后问一下老板多少钱？
[00:26:14.480] 女：微信支付成功。
[00:27:19.120] 角色1：你没上班吗？
[00:27:21.820] 女：你知道为什么？
[00:27:26.140] 角色1：你喝啤酒吗？
[00:27:29.800] 女：也可以。
[00:27:35.600] 角色1：试试这个。
