[00:26:49.000] 男：这画的好诡异啊。
[00:26:51.080] 女：我操，我给你发信息。
[00:26:52.544] 男：你不回我，然后你跟这个角落。
[00:26:54.880] 女：哦，我在回消息，烦死了。
[00:26:57.960] 男：什么消息啊？
[00:26:59.500] 女：呃，我在约稿。
[00:27:02.220] 男：很活跃的。
[00:27:05.020] 女：有钱就行啊，设设计的那个没有画画的。
[00:27:10.140] 女：让别人给我画画。
[00:27:11.900] 男：让别人给你画，不是说你画给别人吗？
[00:27:15.050] 男：嗯？
[00:27:15.580] 女：我要去拿东，你要去哪吗？
[00:27:18.660] 男：我逛一圈呃，我陪你逛一圈，我回宿舍了。
[00:27:21.693] 男：好，那我还有事情要干。
[00:27:23.540] 男：你要吃水果什么的吗？
[00:27:25.280] 男：不一样。
[00:27:30.220] 男：我们老师真的好酷啊，你去学吧。
[00:27:32.800] 男：吃完之后你保护我。
[00:28:42.200] 男：平时的话。
[00:28:43.980] 男：后面的我。
[00:28:47.000] 女：嗯。
[00:28:48.060] 男：大会的所有人。
[00:28:49.580] 男：还然后分为很多小组，我们小组的人就坐在一起。
[00:28:54.460] 男：第一号的同学自我批评，批评完了之后就批评二号。
[00:28:58.446] 男：二号的同学需要说谢谢指正。
[00:29:00.724] 男：然后这些指正了之后，二号就自我批评，二号自我批评完就批评三号，以此类推。
[00:29:26.080] 男：也是六号嘛，所以。
[00:29:28.340] 男：接受五号的批评之后就自我批评，自我批评了之后就批评。
[00:30:58.620] 男：我记得有一个民主评议的。
[00:31:01.040] 男：有需要的。
[00:31:02.260] 男：到时候我填完那个表。
[00:31:49.820] 女：我怕我得赶快去拿充电宝。
[00:35:33.580] 女：你还在喝白水吗？
[00:35:34.802] 女：还是怎么样？
[00:35:35.676] 女：等一下。
[00:35:36.800] 女：哎，玻璃欣赏画家。
[00:35:39.980] 男：你怎么了？
[00:35:52.240] 女：你画一幅，他给你多少钱？
[00:35:54.400] 女：不是，是是我画，我约别人给我画画。
[00:35:58.540] 女：给你画怎么画呀？
[00:36:00.745] 女：我。
[00:36:01.340] 女：我搞我搞那种。
[00:36:03.820] 女：那种那种动漫动漫小人物的呀，就是我自己设计一个形象，别人给我画他的通人。
[00:36:12.420] 女：那个那个图就给我了呀。
[00:36:15.760] 男：那你要花钱买吗？
[00:36:17.402] 女：对啊，先先等一下。
[00:36:19.045] 女：好。
[00:37:54.620] 女：我觉得这个还挺适合。
[00:40:31.420] 女：你的那个纸我没有用。
[00:40:35.680] 男：他说我得了，你说旁边病的没？
[00:40:43.440] 女：嗯，你不还我都给我很多家。
[00:40:47.320] 女：我先查个东西啊。
[00:40:49.400] 女：查完之后我们再做。
[00:44:44.540] 女：九点钟了。
[00:47:08.140] 女：好重啊。
[00:47:21.180] 女：小宝宝。
[00:47:24.420] 女：怎么办呢？
[00:47:25.636] 女：他。
[00:47:28.720] 女：那你现在是在问什么呢？
[00:47:34.460] 女：嗯，怎么怎么处理这个人？
[00:47:55.040] 男：你觉得。
[00:47:57.820] 女：不算。
[00:48:01.720] 女：在某些方面会有一点，但是整体来说不是。
[00:48:06.440] 男：我的想法会。
[00:48:12.440] 女：嗯，肯定会瘦啊，但是这个是在你自己有有有有有有独立的判断之下才会走出来的。
[00:48:30.160] 女：你要走吗？
[00:48:31.373] 女：走吧。
[00:49:08.480] 女：今天先带走一批吧。
[00:49:20.620] 男：真的硬了好多，不知道为什么。
[00:49:25.720] 女：他为什么他今天问他为啥开开不了啊？
[00:49:29.300] 男：锁头硬了，应该要涂点润滑的东西。
[00:49:32.380] 女：我无论怎么拧都拧不开呀，不是钥匙或者配配错了吧。
[00:49:37.020] 男：这这个是配的那一版吗？
[00:49:38.704] 男：我不知道。
[00:49:39.378] 女：我今天过来的时候开不了啊。
[00:49:41.820] 男：你说段奕萱拿的那一把才是配的吗？
[00:49:44.340] 女：我不知道他今天今天我在这边弄的，完全没有办法拍。
[00:49:50.340] 女：拧来拧去都拧不动一点。
[00:49:52.956] 女：哦，这。
[00:49:55.740] 男：我的钥匙也不。
[00:49:58.180] 女：因为我我上一次我就开过这个，我开过一次。
[00:50:01.625] 男：基本上一扭就开。
[00:50:02.965] 男：你的这个钥匙是配的。
[00:50:04.688] 女：还是他发翻译全是自己配的，我的是你给我的呀。
[00:50:08.517] 男：给我那就没有问题了。
[00:50:11.300] 女：还有你把那可乐给我。
