[00:00:00.000] 男：我那个了，没办法。
[00:00:03.580] 男：不用。
[00:00:10.880] 男：你这滤镜有点明显吧。
[00:00:13.980] 男：他不行，我可能那个甘露池里面有点受伤了。
[00:00:17.173] 女：看一下有没有滤镜，没有调滤镜。
[00:00:22.120] 男：我的哦是这样的。
[00:00:24.220] 女：我就想去植物园的时候拍花，那花就很很亮。
[00:00:31.040] 女：这个还行，你这拍的。
[00:00:32.920] 男：你这是什么鸡呀？
[00:00:35.140] 女：呃，红米K8。
[00:00:37.480] 男：哪家的呀？
[00:00:49.480] 男：你不是新换了一台吗？
[00:00:51.003] 男：就这个嘛。
[00:00:53.220] 女：伊拉克。
[00:00:54.660] 女：我不会点手机，然后我就要。
[00:01:01.300] 女：好1.1。
[00:01:04.360] 男：有钱了干嘛没钱啊。
[00:01:05.948] 女：就是两千多3000。
[00:01:07.339] 女：我说我没钱，我奖学金就是我奖学金2000，然后我就花了剩下1700。
[00:01:33.560] 女：不错了。
[00:01:35.060] 女：我因为我买了一个内存是256的。
[00:01:37.920] 女：早知道买512了。
[00:01:43.240] 男：那我也不会用了。
[00:01:44.800] 女：对啊。
[00:01:48.820] 女：只要喝酒去听话。
[00:02:06.240] 女：你等一下。
[00:02:08.780] 女：我都是。
[00:02:10.660] 男：你中间落在那，给你锁上。
[00:02:17.060] 女：那你今天晚上有什么安排吗？
[00:02:19.620] 男：哦，好像要搞那个，我们有还要搞那个语文课程。
[00:02:24.200] 男：啊，都不会写。
[00:02:25.711] 女：我也不会。
[00:02:30.820] 男：腾讯会议一起看。
[00:02:35.320] 女：你们不用现场讲吗？
[00:02:38.480] 男：目前还没收到，肯定要讲的。
[00:02:44.960] 女：喝其他吗？
[00:02:46.440] 女：他给我们讲了，他就给我们。
[00:02:49.420] 女：就一就两节课。
[00:02:51.660] 女：就是两小节嘛，就相当于这一节课了。
[00:02:54.560] 女：然后他第二节，也就是呃上一周直接就在我们现场去讲，叫我们自己备课，自己备PPT。
[00:03:00.180] 女：然后现现场去讲，他他全程他提过来瞄了一眼。
[00:03:03.146] 男：他也能当成水课来教你，太牛。
[00:03:05.220] 女：我没招了，然后第三周他一直在我们这样子。
[00:03:08.860] 女：也就是说我们第第二周开始讲完，讲完之后我们要要要填写那个听课报告。
[00:03:15.620] 男：我们就是啊。
[00:03:16.700] 女：我那个交完了，他就单独又叫我们继续。
[00:03:22.620] 女：人都要讲每个人都要讲好，你自己挑。
[00:03:26.640] 女：因为我们是汉文嘛，然后就是语文课本和初中高中你自己挑了。
[00:03:34.280] 女：嗯，然后我还没备课。
[00:03:36.780] 女：但是最搞笑的一件事情有点小惭愧，就是上演在我们小组其他成员应该都是手做PPT的嘛，结果我跟另外一个男生直接去找模板。
[00:03:47.220] 女：就直接去找。
[00:03:53.420] 女：那个男的用的用的这种。
[00:04:00.420] 女：就是我们的课件有十页，呃，他说他有十几页，我是21页，然后我跟他起码有5页的是完全一样的。
[00:04:11.860] 女：我那时候我的弟弟弟好好吃没来。
[00:04:16.620] 男：你该跟谁？
[00:04:21.020] 女：我是懒得自己做啊，我想我觉得。
[00:04:23.900] 男：和留不到老师。
[00:04:25.960] 男：你要打我。
[00:04:29.300] 女：我应该怎么说呢？
[00:04:30.411] 女：就算我单的话，我觉得重要的就是能讲好就行了，学生能懂就行了。
[00:04:34.700] 女：至于这个PPT是不是我做的很重要吗？
[00:04:37.940] 女：不重要。
[00:04:38.787] 女：对啊然后好。
[00:04:42.020] 女：所以说我从哪找的呀，怎么能那么巧，就在一个啊，不是。
[00:04:47.060] 女：小红书他一般下载，他要收你钱的，我在一个叫第1PPT的那个网页里面找的。
[00:04:53.840] 女：很诡异你知道吗？
[00:04:54.960] 女：但是我看了他的品牌上有两个。
[00:04:57.660] 男：本来就不要。
[00:05:14.840] 男：百01。
[00:05:23.540] 男：第一哔哔哩。
[00:05:31.000] 男：人多起来了。
[00:05:33.780] 男：我头发多少钱？
[00:05:36.120] 男：那5.5点多少个下次？
[00:05:45.420] 女：四号我要讲我的。
[00:05:47.340] 女：嗯，你手机要用吗？
[00:05:48.911] 女：不用的话。
[00:05:49.808] 男：借我，你要它干嘛？
[00:05:51.980] 女：我有个。
[00:05:53.840] 女：为什么非得支持竞赛？
[00:05:55.820] 女：然后呢？
[00:05:56.620] 女：加分的。
