[00:00:10.980] 角色1：第一份糖浆刚刚好。
[00:00:12.864] 角色1：还。
[00:00:17.500] 角色2：啊，不是我看他推荐是积分糖，然后你说是积分糖。
[00:00:41.960] 角色1：加了啥东西啊？
[00:00:45.820] 角色2：他说是加波波，但是呢我觉得那个不是波波那个味道。
[00:00:53.760] 角色1：没有各不同的舰队，波波的定义不太一样。
[00:00:57.195] 角色1：那我。
[00:01:00.220] 角色2：有一些店它的波波是那种一咬它是碎的。
[00:01:03.291] 角色1：是这个也是这个也是那个生疏。
[00:01:07.800] 角色1：那种叫报纸，所以说得看你就是每家店。
[00:01:17.640] 角色1：我把教程安排。
[00:01:22.520] 角色2：我八点多要开一个会。
[00:01:25.060] 角色2：嗯，然后拍完我应该要做我的那个。
[00:01:27.820] 角色2：因为我明天要讲了嘛，然后我今天晚上做PPT和备课。
[00:01:33.380] 角色2：一店吧。
[00:01:34.660] 角色2：因为因为为什么昨天和今天都没课，但是我昨天。
[00:01:46.300] 角色1：刚用完。
[00:01:49.340] 角色1：可以问那边要一下他们，他们都会有的。
[00:01:52.250] 角色2：明天我还想再少一点饭，因为我这个。
[00:01:55.960] 角色1：你可以吃我这个。
[00:01:58.340] 角色2：你不知道。
[00:02:00.680] 角色1：你吃过饺子饭不会吃了坏蛋了吧？
[00:02:35.720] 角色1：他这个纸质量还不错。
[00:02:37.560] 角色1：嗯嗯。
[00:02:46.600] 角色1：呃，那挺。
[00:02:48.520] 角色1：它不搅开的话，变成它就变成一团了。
[00:02:51.611] 角色2：它是有那种板栗的。
[00:02:53.780] 角色1：这个老板那个。
[00:03:03.120] 角色1：再看一下。
[00:03:06.400] 角色2：3月25号一个月。
