[00:00:00.000] 女：什么？
[00:00:00.385] 男：因为记得我我前前段时间好像有一个朋友跟我说，他那个滴滴。
[00:00:05.580] 男：呃，有信息发给他说他欠了很多没有的费用，不是你啊。
[00:00:09.770] 女：不是我不是我。
[00:00:10.912] 男：不是是你吧，不是我。
[00:00:12.436] 女：我没欠钱。
[00:00:13.198] 男：没欠滴滴出行。
[00:00:14.341] 女：没没没没没没花，小猪欠的是句话，是真的，我操。
[00:00:19.220] 男：为什么我身边都是这种神人呢？
[00:00:23.960] 女：鬼知道啊，偏偏就是他。
[00:00:27.520] 女：可能可能可能男的都会小头或是大头吧，我也不知道怎么就是在某种时候突然间就。
[00:00:33.680] 女：就他妈精虫上脑，他妈想把我当个小旅社啊啊啊。
[00:00:41.920] 男：你打算什么时候跟他说？
[00:00:44.200] 女：这干嘛不想管？
[00:00:49.620] 男：我有预感。
[00:00:51.020] 男：你再来一天两天不理他他就他他肯定会找我问你是什么情况的。
[00:00:56.300] 女：那你怎么说，你别跟他说，我说了哈你。
[00:00:59.028] 男：所以我才问你打算什么时候跟他说呀，看能不能搞个里应外合下。
[00:01:06.060] 女：我什么情况？
[00:01:12.080] 女：嗯嗯。
[00:01:14.480] 女：哎，你可以你你可以你你你觉得你觉得我我可以。
[00:01:18.780] 女：这在他的气势之下，我可以是一个什么形象呢？
[00:01:21.890] 女：但是因为他听了，我我也不知道他应该怎么发展我的关系而苦恼，有点难过，我可不可以变成这样？
[00:01:29.580] 男：对，在这边我没听懂。
[00:01:30.977] 女：就是就是就是就是我我我可以我可以在。
[00:01:33.947] 男：那个你在设想他见不得你的形象，呃，呃。
[00:01:36.742] 女：或者或者说或者说对他来说比较理想的一个形象就是。
[00:01:40.900] 女：因为因为我们做了这个事情，然后让让让我的情感变得很不是突破，然后让我们的关系就变成什么样了。
[00:01:47.500] 男：然后你在逃避他啊。
[00:01:49.240] 女：然后然后就跟你诉说了我们之间发生那点小小小冲突啊。
[00:01:56.280] 女：因为因为我找你肯定就要要么要么我就要，要么我就跟你说，要么我就什么都不说。
[00:02:03.020] 女：你要么要么你手机你也不知道，他只是想找我吃个饭，我也不知道你们俩发生了发生了什么。
[00:02:08.936] 女：那或者你你你可你可你就可以这样套的话，现在跟我说就是约约了50个饭，然后看他好像挺挺烦的啊。
[00:02:15.631] 男：然后然后问他，然后他肯定就知道为什么吧。
[00:02:18.434] 女：那你俩你俩是啥了？
[00:02:19.820] 女：你在套他的话。
[00:02:21.265] 男：套套他讲一下套他的那个意思里面。
[00:02:25.280] 女：对对对对对对是对对对对对。
[00:02:35.580] 女：你要想想。
[00:02:36.536] 男：就是我觉得在哪些。
[00:02:38.449] 女：故事里面。
[00:02:39.405] 男：他其实说啊我。
[00:02:40.980] 男：对他怎么样怎么样怎么样，然后因为我。
[00:02:45.760] 男：嗯，我感觉男性是男性叙事，他真的会这样。
[00:02:49.300] 女：他不一定都能对你说是我现在他的。
[00:02:52.920] 男：哦，他说不出口，他听了你这件事情。
[00:02:56.020] 女：他知道这个事情是错的。
[00:02:57.970] 女：其实。
[00:02:59.420] 女：他你知道是错的，但是他还是为了遵循自己的欲望去做。
[00:03:05.300] 女：他在他在看到我在那儿因为难过某某灌酒，然后甚至差点跟我出来的时候，他就应该让我不要再喝了，但是他就看着我去喝。
[00:03:13.120] 女：因为他知道我的脚是什么样子。
[00:03:16.100] 男：我看你最近在喝的时候，他自己在想你有叔叔，那他自己在想。
[00:03:20.210] 男：然后然后后来。
[00:03:21.196] 女：后来后来我一抽烟，他马上说你不你不许抽了。
[00:03:24.540] 男：多少？
[00:03:26.100] 女：你说你知道你在伤害自己啊，我喜欢酒都不是伤害哎。
[00:03:30.900] 男：怎么知道他是觉得你喝酒能够宣泄一下自己的。
[00:03:34.309] 男：我喝酒可以变色。
