[00:00:06.620] 男：连续亏了两天。
[00:00:08.448] 女：为什么不亏啊？
[00:00:10.277] 女：为什么淘宝。
[00:00:11.802] 男：白银白银它降价我就亏炒股。
[00:00:17.340] 女：好厉害，我我不敢炒。
[00:00:19.654] 男：我就炒300块钱。
[00:00:21.900] 女：知道。
[00:00:27.620] 男：我点掉了。
[00:00:29.120] 男：那个时候还是稳步上升。
[00:00:33.160] 男：我刚开始的时候真的是稳步上升。
[00:00:35.978] 女：牛逼怎么能赚那么多。
[00:00:37.789] 男：但是后面就开始亏。
[00:00:40.280] 男：绿绿色的就可以的，单你就可以。
[00:00:45.100] 女：亏的有赚的多吗？
[00:00:47.360] 男：亏的比赚的多。
[00:00:51.040] 男：不讲不。
[00:00:52.000] 男：你这是桂花吗？
[00:00:53.690] 女：嗯。
[00:00:53.971] 男：你是在干吗？
[00:00:55.640] 女：自然风干。
[00:00:57.840] 男：牛逼，这什么苹果。
[00:01:01.540] 女：我想想我这样做。
[00:01:02.986] 男：我会，那我们出去还是。
[00:01:04.846] 女：在这里不行。
[00:01:08.100] 女：刚才下。
[00:01:19.960] 男：你有这这些是你的。
[00:01:21.780] 女：来擦的，全都是我的。
[00:01:23.980] 女：你有笔吗？
[00:01:25.188] 女：他妈的。
[00:01:26.094] 男：因为我。
[00:01:27.140] 女：我看看啊。
[00:01:28.407] 男：有，我是八点半去开会。
[00:01:31.420] 男：就说是。
[00:01:37.620] 女：对于。
[00:01:45.280] 女：内裤还带着呢。
[00:01:51.620] 女：礼品的收。
[00:01:52.560] 女：网上社保那边。
[00:01:54.300] 男：他凳子是。
[00:01:55.660] 男：蓝色的。
[00:01:57.000] 女：对啊，我跟段一轩问你能不能拿这个蓝色的凳子，然后人家说不可以，肯定不可以啊。
[00:02:03.897] 女：好。
[00:02:04.740] 女：这次。
[00:02:06.000] 女：那我就。
[00:02:07.080] 女：你要吃吗？
[00:02:10.400] 女：你就感谢我在这复习吧，你要几张？
[00:02:18.900] 女：挺好用的，但是这里。
[00:02:27.140] 女：太废物了。
[00:02:30.060] 女：嗯，看。
[00:02:35.020] 男：他问我，今天晚上是闲聊吗？
[00:02:37.207] 男：我应该怎么说？
[00:02:40.600] 女：你平时怎么说话？
[00:02:43.800] 男：我平时跟他怎么说话？
[00:02:45.521] 男：嗯。
[00:02:45.713] 女：那你平时刷的语音干嘛，你就可以说他他作业就闲聊啊，然后问了一下什么作业的事情。
[00:03:14.980] 女：他他但凡没有亲我，给我写了这么一个小小作文，我都得感动死。
[00:03:44.060] 女：好想找很多人说，但是已经没有共有了，好可惜。
[00:03:48.500] 男：给我一个重要啊。
[00:03:50.000] 女：对呀。
[00:03:53.440] 女：我室友什么的不好引入啊。
