[00:00:00.940] 女A：我现在没心情了，说吧，你们刚聊的啥？
[00:00:06.500] 女A：他是不是问我近况还是怎么样。
[00:00:09.589] 女B：没问近况。他跟我反思了一下自己干嘛了。
[00:00:16.101] 女B：你确定要先讲再做是吧？
[00:00:18.780] 女A：我现在有心情做吗？
[00:00:20.147] 女A：没有了，我没有，一走了之都算好了。
[00:00:28.149] 女B：我先编辑完吧。
[00:00:30.260] 女A：那他反思也不该找你啊，他应该他应该自己找，跟我说一声，然后留留在哪里我能找到地方，他滚。
[00:00:50.360] 女B：其实也不算是反思吧。没了吧，没了。
[00:00:54.300] 女B：哦他叫你自己看。
[00:01:12.820] 女A：他要再说啥。
[00:01:26.740] 女A：喷了，你说吧。
[00:01:28.395] 女B：他说啥了？
[00:01:31.740] 女B：啊，他说如果你看完那封信之后给你看，这就。
[00:01:38.980] 女A：烦死陈晓灿了啊，我说我说他要烦死你了，
[00:01:40.768] 女B：我还以为你烦死我了。
[00:01:44.349] 女B：我说啊，我干嘛了？
[00:01:45.794] 女A：没有啊，你不是挺烦的吗？
[00:01:49.400] 女A：你今天那个我求你了，让我“啊”。
[00:01:55.440] 女B：其实是我求他了。
[00:01:56.860] 女A：我求他了，我也没怎么打扰你吧，我就告诉你这个事。
[00:02:00.521] 女B：怎么说呢？
[00:02:02.800] 女B：就是。
[00:02:03.780] 女B：他可能也。
[00:02:06.340] 女B：我给你讲一下吧。
[00:02:08.560] 女A：他反思了个啥？
[00:02:11.280] 女B：他说。
[00:02:12.540] 女B：他说他意识到他自己，就是下去的时候，他说他给你那封信，然后问你那个是什么什么样的想法，巴拉巴拉的。
[00:02:19.707] 女B：我当时不是没回答这个问题吗？
[00:02:21.825] 女B：当时我在上课，我就忘记回他。
[00:02:25.730] 女A：你忘记回了？
[00:02:26.257] 女B：我真忘记回了，我不是故意不回的。
[00:02:26.728] 女B：我今天一整天我都有很多课，然后呢，就你之前给我发的那场上的语音，我都我我都还没回你。
[00:02:32.780] 女B：好，我发啥了。
[00:02:33.799] 女A：就是女性女权那些。
[00:02:37.061] 女A：那个是我给你听许诺上课讲的东西。
[00:02:41.060] 女B：你上他的什么课？
[00:02:42.485] 女A：女性文学啊，最后一节啊，没有了。
[00:02:44.929] 女A：我要听，为什么没有？我第一节课错过了，然后我实际上就上了两节课。
[00:02:51.854] 女A：然后文学不是有很多他跑去，他被游戏班挖过去了，学校把他分配过去当老师，不给他上理性文学的课。
[00:03:01.020] 女B：啊，我想念许诺了，反正就是这样。
[00:03:03.668] 女B：然后我然后我就我就直接问他了，我说那那你讲了这么多天。
[00:03:08.960] 女B：你思考了这么多天，你有没有意识到你哪里错了啊？
[00:03:13.010] 女B：然后他他就先说他自己那两个问题问的不合时宜，一个是他觉得他不该问这两个问题，这是一个错了，然后不应该在在。
[00:03:23.820] 女B：不应该在呃，约你出门散步，想谈事情的时候没有说明。
[00:03:29.368] 女B：就是没有说明。
[00:03:30.882] 女B：那也是出去散步的。
[00:03:33.380] 女B：那个叫什么来？
[00:03:34.720] 女B：没有说没有说明那是出去呃，散步的……
[00:03:38.512] 女A：目的。
[00:03:38.911] 女B：对，没有说明目的。
[00:03:40.455] 女B：他以为可以不用说。
[00:03:42.360] 女B：他之前他说他之前的经验呃，没有，他说他之前没有这个经验，没有还在意识到。
[00:03:49.080] 女B：要这样说。
[00:03:49.087] 女A：还在狡辩嗯，这是第二个。
[00:03:53.492] 女B：这三个是啥来着？
[00:03:55.088] 女B：我操，等一下，等我一下。
[00:03:58.280] 女A：都是那晚就提过的呀，他在说啥呢，还在狡辩，你说吧。
[00:04:03.800] 女B：还有一个。
[00:04:05.120] 女B：啊，对，他说他回去之后，嗯，他有在思考那天晚上亲你是不是对的。
[00:04:12.453] 女B：他有在思考这个。
[00:04:14.354] 女B：嗯，但是后面我问他，那你觉得是对的吗？
[00:04:20.460] 女B：他就开始说，他觉得他能够承担责任了，巴拉巴拉巴拉的。
[00:04:24.536] 女B：然后后面我说。
[00:04:25.740] 女B：我就说什么，那你。
[00:04:29.220] 女B：有没有意识到她是不清醒的状态下？
[00:04:34.740] 女B：他说他当时没有想那么多，就是他他说他当时脑子也没想那么多。
[00:04:40.980] 女B：就是说他当时。
[00:04:42.276] 女B：脑子也是处于一个很混沌的状态。
[00:04:45.880] 女B：我说，你不是没喝酒吗？
[00:04:47.387] 女B：他说他也不知道。
[00:04:49.780] 女B：然后还有什么来着？
[00:04:52.260] 女A：有意思。
[00:04:53.226] 女B：我真的听懵了。
[00:04:55.640] 女B：我找到录音了，我真真记不住，我操，还有一点。
[00:05:00.320] 女B：然后就是后面他就意识到，他反正后面我就问他，那所以你觉得在你亲她的这件事这件事情中是对的还是错的？
[00:05:09.411] 女B：他说是错的。
[00:05:14.191] 女B：然后我听到一个你昨天跟我说的不一样的东西。
[00:05:20.180] 女B：你昨天你不是说那天晚上你是同意他亲你，他才亲你的吗？
[00:05:24.765] 女A：对啊。
[00:05:25.118] 女B：但是我今天我听到的是，今天我听到的是，你跟他说你自己想清楚就好，这个不是同意的意思。
[00:05:32.280] 女B：这是同意的意思吗？
[00:05:35.860] 女A：什么意思？
[00:05:37.860] 女B：他的意思就是说他听呃，他前面几次没有。
[00:05:42.540] 女B：他前面几次提出想亲你，然后你没有同意。
[00:05:46.056] 女B：对呀，后面他再问了一次，你说你自己做好决定就好。
[00:05:50.660] 女B：然后他说你，他听到你说这句话，然后他才亲你的。
[00:05:56.760] 女B：然后我就跟他说，我说这个不是，这个不是同意的语气啊，这不是同意的那个什么呀。
[00:06:03.171] 女A：我说的我说的同意是指后面他问了很多遍，然后我说，我我我嗯了一句。
[00:06:08.820] 女A：这个嗯表示同意。
[00:06:12.320] 女A：前面这个算是一种。
[00:06:14.700] 女A：就是我在判断他到底是不是在很冲动或者怎么样。
[00:06:18.358] 女B：吓我一跳，我还以为你说了一句这个他就，吓死我了。
[00:06:21.520] 女B：还有一个。
[00:06:26.780] 女B：还有一个我问了他一下，就是。
[00:06:28.960] 女B：呃，在车上他问你还要回学校吗？
[00:06:32.268] 女B：我问了他，就是我跟他说了，我跟他说你这句话的是想表达什么？
[00:06:39.380] 女B：然后他跟解释跟他说。
[00:06:41.360] 女B：因为你当时
[00:06:42.540] 女B：喝醉了，在车上一直在挣扎。
[00:06:45.540] 女A：我挣扎？没事，你说。
[00:06:47.502] 女B：在车上一直挣扎，然后一直坐不稳，然后呢，他就把你的手。
[00:06:53.100] 女B：放在他的肩膀上，对吧？
[00:06:55.646] 女B：没毛病吧。
[00:06:56.664] 女B：对吧，然后呢，他当时跟你说话。
[00:07:01.100] 女B：反正是说你当时很做的很不稳，他担心出什么问题，然后他又不知道你想干嘛，他就他就逐一排除了。
[00:07:10.820] 女B：逐一排除，然后就问你，你是不舒服吗？
[00:07:13.809] 女B：然后你说没有不舒服，然后他就问问你是不想回学校吗？
[00:07:17.853] 女B：还是想去哪里？
[00:07:18.908] 女B：他跟我说的是。
[00:07:19.963] 女B：他没有什么其他的意思，他只是排除询问，看你是想，看你是什么想法。
[00:07:24.886] 女B：然后我就追问他，我说那如果她说不想回学校，那你想干嘛，你想送他去哪里，他说他也不知道。
[00:07:32.060] 女A：他能送我去哪里？
[00:07:40.420] 女A：而且这个好像都是在很久之后。
[00:07:45.020] 女A：是我到学校还有几十米或者几百米吧，他说快他说快到学校了。
[00:07:51.057] 女B：对啊，所以后面。
[00:07:52.399] 女B：他说快到学校了，你坚持一下。
[00:07:54.635] 女B：对啊。
[00:07:55.082] 女A：然后他又问了一次，那你还要回吗？
[00:07:59.554] 女A：那这个很奇怪啊。
[00:08:03.720] 女A：而且我不回学校，我能去哪儿呀？他有病吧。
[00:08:11.700] 女A：狡辩吧。
[00:08:13.880] 女A：还在约。
[00:08:19.020] 女B：吃什么蛋糕？
[00:08:20.120] 女A：我不知道啊。
[00:08:22.600] 女A：他这里还在说，其实我当时在感谢你让我勇敢的去表达自己。
[00:08:31.680] 女A：然后。
[00:08:36.240] 女A：“让我直面了自己的内心”。
[00:08:40.280] 女A：“默许这样犯规的行为”。
[00:08:42.710] 女B：哦我想起来了，他说呃，他是就是那个“直面自己的内心”，他后面又跟我说，他说。
[00:08:51.600] 女B：前一天晚上他还，就是你们闹矛盾的前一天晚上，他可能还会跟你讨论那个男生的事情，还会跟你说。
[00:09:00.160] 女B：其他的东西。
[00:09:01.312] 女B：然后他说经过那天晚上之后，他就反正后面我问他，他说，我问他，如果莫老师想不结婚，不生孩子，不跟你在一起，你会怎么样。
[00:09:12.840] 女B：他说如果是你们闹矛盾的前一天晚上，他可能会难以接受。
[00:09:16.888] 女B：但是你们闹了矛盾之后，一直到现在的这几天，他说他想开了，他说你想怎么样就怎么样。
[00:09:23.180] 女B：意思是说，你想不结婚就不结婚。
[00:09:25.072] 女B：你想不生孩子就不生孩子。
[00:09:25.940] 女A：I don't care啊，谁叫他做了这件事情。
[00:09:30.160] 女A：问题跟这些都已经没有关系。
[00:09:32.760] 女B：问题就是只是跟他亲你这件事情有关系。
[00:09:36.260] 女A：对啊，问题是这个这个这个事情暴露了他最致命的一个缺陷。
[00:09:42.740] 女A：他但凡没有做这个事情怎么样，我都我都我都我都挺ok的。
[00:09:47.095] 女A：现在他他这些我能理解，但是我。
[00:09:50.580] 女A：还爱是不受控制，哎。
[00:09:54.374] 女B：什么不受控制？
[00:09:56.220] 女A：朋友圈他发了他发了那个第九张图。
[00:09:59.560] 女A：他昨天晚上发了一个中间那个是我们去那天晚上我那天我跟他说聊聊，他带我去公园在那边买的棉花糖。
[00:10:06.940] 女A：然后最后一张他说那个什么爱是不受控制。
[00:10:10.460] 女A：然后他把这个当做了他在这之后设置了他的状态，点开他的主页。
[00:10:21.700] 女A：反思吧，他他就反思吧。
[00:10:31.240] 女B：我的态度很纠结。
[00:10:34.480] 女A：怎么跟他相处。
[00:10:38.838] 女B：怎么看你们之间的这个事情，跟你们两个人相处我无所谓，因为怎么说呢？
[00:10:43.923] 女B：跟你相处我完全没有什么顾虑，跟他相处。
[00:10:47.010] 女A：也不会感觉到这些东西。
[00:10:49.190] 女B：对。
[00:10:49.371] 女A：也除非他来这个问题，除非他来找你干嘛干嘛。
[00:10:53.185] 女A：对啊。
[00:10:53.548] 女B：别的都还不会涉及到这些。
[00:10:56.272] 女B：所以我说我现在可能就觉得是他是对于。
[00:11:01.820] 女B：他问我就是，问我他会不会觉得他一直在狡辩，一直在逃避。
[00:11:06.268] 女B：然后我就跟他说，我说我不会参与，我不会评价你们两个。
[00:11:10.531] 女A：这个这个态度是对。
[00:11:13.020] 女B：那我真的不知道怎么评价，我不怎么评啊。
[00:11:16.320] 女A：他让你做决定，就是让你去选择一方的立场。
[00:11:20.555] 女B：对啊，让我站队嘛。
[00:11:20.908] 女A：所以你的态度肯定就像我今天说的，他要是问你什么，你就让他自己去想你不要你不要掺和太多。
[00:11:29.540] 女B：所以我只是跟他说，你认识到自己错了吗？
[00:11:31.798] 女B：你错在哪里？
[00:11:32.462] 女B：我只是问了这个。
[00:11:34.540] 女B：顶多就起到一个引导的作用，没有没有起到一个回答的作用。
[00:11:38.064] 女A：挺好的。
[00:11:38.487] 女A：你至少没有教他一个怎么样。
[00:11:40.560] 女B：我还教他我打死他。
[00:11:42.560] 女B：怎么怎么怎么做？
[00:11:44.345] 女A：对我现在最主要的问题就是那个字体。
[00:11:50.120] 女A：字体这个。
[00:11:52.300] 女B：太靠了是吗？
[00:11:54.033] 女B：对。
[00:11:56.420] 女A：你看这个不在框里，然后这个两边。
[00:12:00.300] 女B：这个的话你看看能不能设一个文本框。
[00:12:03.395] 女A：然后吧反正排版太多问题了，这边这个有点靠进去了，然后你看这个大标题和小标题中间差。
[00:12:11.660] 女B：他的不太，那你这里再拆再拆一行呗，后插一行。
[00:12:16.635] 女A：还说愿意承担后果，又约我这个人根本就没有做好这。
[00:12:24.840] 女B：这里是不是固定的不能改？
[00:12:26.980] 女A：不知道。
[00:12:28.233] 女B：那应该是找的模板的问题，要不要去换一个？
[00:12:30.940] 女A：哎，我我现在去买一个套组。
[00:12:33.580] 女B：买个什么。
[00:12:34.540] 女A：就是是电脑的东西。
[00:12:38.140] 女B：你还不如拿电脑去那个店里面修。
[00:12:41.682] 女A：嗯，感觉会坑的。
[00:12:45.500] 女A：嗯，我没试过，可以看一下。
[00:12:48.560] 女B：那个李居宸不是维修吗？
[00:12:50.300] 女A：我不想找他，为啥？
[00:12:51.519] 女B：你俩关系不是挺好的吗？
[00:12:53.700] 女A：我上次问他，然后被他一个，上次问他了，为啥是我这个微信被清空的问题。
[00:12:59.763] 女A：然后他他来了一句我我不负责的啊，就是就是现在有人找我问一些私人问题的时候，我会把你丢去别人的那里。
