[00:00:22.960] 男：有的那种小清吧，然后人家抽的是高级货的话，那个味道就。
[00:00:31.500] 男：我我之前跟朋友就刚好也是我跟我朋友去的。
[00:00:36.100] 男：他带我去的那次，我们旁边隔壁住。
[00:00:39.520] 男：就是那家店贴着禁止吸烟雪茄除外。
[00:00:44.380] 男：然后那隔壁桌的人抽的是雪茄。
[00:00:47.420] 男：你叫我一说一，那个味道真的。
[00:00:52.160] 女：嗯，对他是什么？
[00:00:57.020] 男：一点点向内部。
[00:01:01.860] 男：但是你能闻出来是烟。
[00:01:04.080] 男：但它里面会有啊有种梦想。
[00:01:15.180] 男：我爸今年过年的时候给我三爷爷带了一。
[00:02:18.220] 女：七匹狼小芙女装。
[00:02:20.780] 男：感觉很。
[00:02:21.840] 男：对方的万达。
[00:02:39.540] 女：看看无星人。
[00:02:44.980] 男：也蛮中国的商场是最好。
[00:02:51.880] 男：我想的狗里面没风。
[00:03:03.020] 男：这样你你给我发的。
[00:03:11.300] 男：在那个日料旁边的那个面包店，这不是我们。
[00:03:14.916] 女：去过的吗？
[00:03:16.540] 男：我上班。
[00:03:40.180] 男：看死我没有暴力。
[00:03:43.620] 男：顶楼就这样子。
[00:04:17.860] 女：对你先写到的那个事情。
[00:04:21.580] 女：他们有卖的。
[00:04:24.040] 男：我妈看到自己的号上。
[00:04:45.220] 女：这么让我们去看见吗？
[00:04:48.880] 女：你为什么要？
[00:04:55.180] 男：你想听到什么样的歌？
[00:04:57.100] 女：是我的后门，应该会往那边走。
[00:05:03.520] 男：怎么说？
[00:05:13.480] 女：我也玩不过啊。
[00:05:37.080] 女：到尿了。
[00:05:42.840] 女：要等吗？
[00:05:55.220] 男：看看明天那个课课时。
[00:06:25.740] 女：不知道，我当时。
[00:06:58.480] 男：哎，有病吧。
[00:07:00.640] 男：这个活动。
[00:07:05.680] 女：腹膜。
[00:07:09.100] 男：不要看。
[00:07:15.540] 男：你先给我带好了。
[00:07:22.020] 女：全体觉得吗？
[00:07:24.880] 女：我都不知道，哎。
[00:07:28.080] 男：因为没得跑。
[00:07:39.120] 男：这节课好像跟我们班晚上的形。
[00:08:01.240] 男：我知道的。
[00:08:02.340] 男：后来呢。
[00:08:05.920] 男：你别急，我问问导游。
[00:08:23.760] 男：Ok那我们不用管。
[00:08:32.680] 男：那这个。
[00:08:37.400] 男：那这个我就跟大家说一说。
[00:08:48.520] 男：我到。
[00:09:10.920] 男：还没回来。
[00:09:15.660] 女：你再把你的房间在下面。
[00:09:30.940] 男：那这个我补发一个。
[00:10:59.520] 男：冷了吧。
[00:11:05.480] 女：绑架。
[00:11:14.420] 女：此刻在门口，他阿姨又骂了一声。
[00:11:38.540] 男：昨天晚上。
[00:11:42.420] 男：我们都是。
[00:11:55.820] 男：他们打王者的那个麦子买的要。
[00:11:58.500] 男：一边一边热的睡不着。
[00:12:01.920] 女：你不是秒帅吗？
[00:12:03.780] 男：我快睡着了，然后。
[00:12:06.380] 男：然后等我。
[00:12:18.820] 男：彭埠镇。
[00:12:32.860] 男：什么都改变不了。
[00:12:34.383] 女：暖和的这车子。
[00:12:35.689] 男：没有设计。
[00:12:37.200] 女：你在那里，他在干嘛？
[00:12:41.220] 女：你没有去过吗？
[00:12:42.640] 男：只有白酒会有这种感。
[00:12:46.040] 女：有一点点给他他如果亮一点的话更明显的。
[00:12:50.240] 男：九九岁月。
[00:12:58.660] 女：小电动车来了。
[00:13:01.520] 女：乌克兰。
[00:13:06.940] 女：有一首歌吧。
[00:13:13.420] 女：应该是一种特别烈的白酒吧。
[00:13:17.200] 女：小小一杯，然后然后你在手指虎口上面涂盐。
[00:13:23.340] 女：然后。
[00:13:25.340] 女：一天。
[00:13:26.900] 女：你先你先舔一下眼。
[00:13:29.220] 女：然后再猛地把那一杯白酒喝完，然后你再吃下一片柠檬片。
[00:13:38.080] 女：这么冷，你看行吗？
[00:13:40.340] 男：你要不我手是暖的。
[00:13:47.000] 女：不和你们聊。
[00:13:56.760] 女：你要你要是冷了，叫我脱一下来啊。
[00:14:00.140] 男：好啊。
[00:14:13.080] 男：哎呀，这个路没多好。
[00:14:15.080] 女：你为什么走上面？
[00:14:22.800] 女：我要下了，我不要动你。
[00:14:37.200] 男：你把脚放前面吧。
[00:14:45.860] 女：要要换回来吗？
[00:14:48.180] 女：真的吗？
[00:14:50.220] 女：别。
[00:14:51.420] 女：明天说晕了。
[00:14:53.280] 女：好可爱的人是你。
[00:14:57.520] 女：牛逼有没有用？
[00:15:01.220] 女：我只有。
[00:15:08.300] 男：我在姥姥家有一。
[00:15:11.020] 男：我试了两个。
[00:15:13.500] 男：这是早上。
[00:15:15.320] 男：两单。
[00:15:22.800] 男：你的外套衣。
