[00:00:15.660] 女：还有本来是应该带点吃的给你的，我从家里带了好多好多东西回来，都吃不完。
[00:00:22.540] 女：淘汰。
[00:00:25.220] 女：啊，我太急了。
[00:00:27.360] 男：那我们先把东西给。
[00:00:33.220] 女：就晚一点，老师你看他你看他，你看他作业到现在才交，我所有完全交给你。
[00:00:38.651] 女：不是不要走啊，把这搬走在这里啊。
[00:00:41.186] 女：对呀，我说在这里。
[00:00:42.453] 男：这里面有三张。
[00:00:46.060] 男：我不知道烦你们去分吗？
[00:00:48.320] 女：先拿走。
[00:00:51.700] 男：你又能拿完。
[00:00:53.250] 女：你又跑过来。
[00:01:08.300] 女：有点有点不许你身边有什么给你开放式关系。
[00:01:13.100] 女：客人。
[00:01:14.460] 男：经历是什么？
[00:01:15.490] 男：开放式花的。
[00:01:16.660] 男：没有，我们从来就他们有，他们也不会讲。
[00:01:20.740] 男：就是你想一下，谁要是真的是这样子的，他难道会明面上跟别人讲出来，他只会再遇到他自己想要去说的人的时候会。
[00:01:31.960] 男：一般情况下是这样子。
[00:01:36.560] 女：就是这是我的就是就是啊我是我在找你是在讲类似的事情啊。
[00:01:41.728] 女：就是就是我不是在社团里面遇到遇到了一个很坏的学长嘛？
[00:01:46.697] 女：哦当时当时处理的挺糟糕的，是吧？
[00:01:49.620] 女：然后然后后来就是就是就是前段时间我又碰到了跟我同一级的人，就还是在这个环境。
[00:01:57.980] 男：你们不是已经处理他。
[00:02:00.060] 女：对，但是不是他了，就那个人已经已经不在了，我又我又碰到了。
[00:02:04.411] 男：也是另外一个人。
[00:02:05.629] 女：另外一个人。
[00:02:08.020] 男：然后我我另外一个人对你啊，我另外一个人。
[00:02:10.720] 女：另外一个另外一个人对我。
[00:02:12.540] 女：这是我大学三年以来，每一年都碰到这样的事情。
[00:02:16.240] 男：那你对他是怎么？
[00:02:18.640] 女：我这次就就还是跟之前很像。
[00:02:24.080] 女：首先首先我我我哎呦就是就是这些东西对我让我对对于男性，对文学呃对对整个就是就是这方面的一个一个潜力。
[00:02:39.260] 女：就还有还有对于自己的一些关系观都产生了一个很大的质疑。
[00:02:44.280] 男：但是这些人一开始没有展现出。
[00:02:49.020] 女：嗯，一开始确实没有，就是他们都是在我这，除了除了第一次都是在。
[00:02:54.410] 女：我觉得哦，对方对方是可以信任的对他是安全这个那你自己看。
[00:02:59.602] 男：怎么判断出来。
[00:03:03.220] 女：是对朋友之间的相处。
[00:03:06.800] 女：就是还没有涉及到后面后后面那种比较对我的我。
[00:03:10.701] 男：的问题就是你在跟他进行做朋友的这个过程当中，你怎么判断他这个安全。
[00:03:19.060] 男：就是你们那条线在哪里？
[00:03:22.860] 男：因为你刚刚说到的是你一般人每一年都会遇到这事，那就意味着。
[00:03:26.880] 女：很可能在你某一个判断里面。
[00:03:28.965] 男：能做出错误。
[00:03:29.833] 男：对那是哪个人？
[00:03:30.876] 男：你的判断标准是什么？
[00:03:38.860] 女：我觉得。
[00:03:40.360] 女：就是之前呃。
[00:03:42.740] 女：呃，呃前期就是当当当朋友，然后呢，后来我感觉到就是他们对男性对我有这么一种特殊的感情。
[00:03:50.620] 女：然后在那那种时候，我没有，我不会及时的去举诉，我们会觉得为什么呢？
[00:03:56.280] 女：那个感觉不到那个可以拒拒绝的point。
[00:04:00.120] 男：拒绝不需要会。
[00:04:01.920] 女：就是他没有没有说我要对你怎么样，而是而是他他会。
[00:04:06.226] 男：去对你就远离了，就是要你。
[00:04:08.820] 男：那个点的时候一定要原因。
[00:04:10.520] 女：但是我真的可以。
[00:04:13.020] 男：那你怎么意识到他有点不对劲？
[00:04:15.091] 男：就是当你意识到有点不对劲的时候，你就。
[00:04:20.980] 男：因为因为他要的那个关系肯定是你们可以接受的，不对。
[00:04:24.885] 女：但是但但是我不知道他们是要什么样的关系，我就试图去理解。
[00:04:29.480] 男：不，你们是不自己。
[00:04:31.980] 男：御泥的话就感觉到有点不。
[00:04:33.980] 男：我会去理解。
[00:04:36.860] 男：因为你不想跟你关系。
[00:04:39.040] 男：对，除非你是在做研究，你想去理解，那你就有研究者。
[00:04:42.562] 女：我有一点我有一不是，是我有点混合，我有点想去研究他们是什么样的心理。
[00:04:47.762] 女：但是同时我又是在这种关系之下。
[00:04:50.110] 男：所以现在就要搞清楚另外一件事，如果你想要研究，但是你又不想你受伤害，那你到底要选择哪一种？
[00:04:56.988] 男：你没办法，如果你分不开，所以你只能选择一种。
[00:05:00.175] 男：你不能说我另外。
[00:05:01.349] 女：这个任务我有点有点太相信，对，就是其他人的边界了。
[00:05:06.220] 男：这个就是点。
[00:05:07.093] 女：对我觉我觉得这个是我我比较致命的地方。
[00:05:10.238] 男：就是我刚才问了一下你的线在哪里哪里那条线作为基准，一旦意识到了，你就立马。
[00:05:17.560] 男：而不是说，那我等一等对方的。
[00:05:21.440] 男：银行一个人的角色是你接受不了的，然后你就会受到。
[00:05:25.160] 男：不然你就要要求对方亮灯他的界限，而不是。
[00:05:31.160] 男：嗯，就是这样的。
[00:05:33.120] 男：因因为为什么我讲的这么确定了？
[00:05:35.433] 男：肯定是因为这个是涉及到你自身能不能接受的事情。
[00:05:39.068] 男：如果是他不会涉及到你一个情感，那我不需要这么斩钉截铁。
[00:05:44.580] 男：去掉。
[00:05:47.040] 男：所以你就是如果这已经是第三次了，那你就很明白，那我还是要去。
[00:05:52.292] 男：就是我现在如果可以暂时还这一次，那我。
