[00:02:36.480] 女：这个为什么用？
[00:02:51.940] 男：一方面。
[00:02:55.720] 女：嗯。
[00:02:56.960] 男：那个。
[00:03:06.300] 男：你的原因就是。
[00:03:09.520] 男：有很多。
[00:04:22.860] 女：如果我的回答你不满意，你会怎么办呢？
[00:05:56.920] 男：嗯。
[00:05:58.040] 女：嗯。
[00:07:55.160] 女：然后你呆了一整天的问题是不是很多？
[00:08:01.740] 女：你说你今天很累的不动。
[00:15:44.860] 男：呃。
[00:17:03.420] 女：你不觉得这两个问题可能不是大脑。
[00:17:15.520] 女：嗯。
[00:17:16.800] 女：我的回答让你满意的话。
[00:17:19.780] 女：你觉得对，那你记得我们有机会会在一起。
[00:17:25.840] 女：我的很是。
[00:17:27.940] 女：啊，那个。
[00:17:29.420] 女：未来。
[00:17:44.020] 女：那个。
[00:17:46.520] 女：就这个。
[00:17:48.200] 女：该死的想象，是能让你能够面对。
[00:17:51.660] 女：如果。
[00:17:54.820] 女：如果如果超出了这个意。
[00:17:57.500] 女：那么我就变成了一个模糊的对吧？
[00:18:04.740] 女：然后。
[00:18:07.880] 女：然后你问的这个问题。
[00:18:10.060] 女：他们就被。
[00:18:12.040] 女：放到了一个无敌的肩颈范围。
[00:18:15.140] 女：嗯，打不了。
[00:18:18.780] 女：如果他。
[00:18:20.540] 女：如果它的重量是这样的那我到底要不要？
[00:18:36.780] 女：那听起来就是这样的。
[00:18:39.400] 女：而且你也说了，你没有跟我说。
[00:18:42.540] 女：今天晚上出来散步是。
[00:18:45.040] 女：有问题要聊的，我以为只是跟你做。
[00:18:48.080] 女：然后。
[00:18:50.100] 女：希望我们可以走过来走一走。
[00:18:53.200] 女：不是谁的。
[00:18:55.120] 女：哪个？
[00:18:56.880] 女：在路上提到这个事情，说我给事就很在意。
[00:19:01.480] 女：然后大家问。
[00:19:03.140] 女：你在吃饭困。
[00:19:05.060] 女：那不可能，这个话题他可能也很。
[00:19:13.680] 女：我感觉好像好像我们两个在相亲一样的那种。
[00:19:17.460] 女：呃，你的工作是什么？
[00:19:20.320] 女：你你接下来的发展打算是怎么样？
[00:19:23.740] 女：你的未来计划是怎么样？
[00:19:27.020] 女：Ok那么聊了这么多了，你现在对我有没有意思？
[00:19:30.370] 女：你是你对我是什么想法？
[00:19:32.134] 女：那个机会。
[00:19:36.000] 女：我不是想想你问的问题很舌头。
[00:19:39.020] 女：而是他们提出的是也和和他们在当时那个肯定大是。
[00:19:44.300] 女：我代表的那个。
[00:19:46.220] 女：被子。
