[00:00:01.260] 女：开始了吗？
[00:00:04.220] 女：关于关于段老师前几天跟我跟我说的东西。
[00:00:08.100] 男：然后。
[00:00:09.600] 男：那天晚上说。
[00:00:11.714] 女：的对。
[00:00:16.840] 女：然后我后面不是在那个在那个微信上问了你。
[00:00:21.300] 女：45有1个回复是吗？
[00:00:26.420] 男：还是。
[00:00:28.340] 男：还是那天晚上的。
[00:00:32.440] 男：我我应该还是我还是那天晚上的。
[00:00:37.120] 男：就是。
[00:00:39.100] 男：虽然虽然我心里面是。
[00:00:43.080] 男：肯定是想的，但是我不想给你。
[00:00:46.900] 女：心里面想的是什么呢？
[00:00:49.200] 女：就是。
[00:00:50.960] 男：就是心里面想的肯定还是想。
[00:00:54.420] 男：想听听你的回答。
[00:00:56.420] 男：但是如果你不想。
[00:00:58.420] 女：嗯，对，什么都可以打。
[00:01:02.160] 男：轻易的回复。
[00:01:09.860] 男：但是我不想不想，因为。
[00:01:12.240] 男：这个成为你的负担。
[00:01:23.040] 男：不希望你，因为因为因为我跟你坦白了心意之后有压力。
[00:01:34.900] 女：我有一个问题，嗯，就是段老师对对我们之间的关系的期待是什么呢？
[00:01:41.640] 男：皮带。
[00:01:51.120] 男：我这个问题不知道有点怎么回答。
[00:01:54.980] 男：因为我我我我我不太清楚，因为很多的期待是。
[00:02:03.980] 女：举例来说，你是想听你是想听到我对我我对我对你的想法呢？
[00:02:10.340] 女：还是。
[00:02:12.120] 女：还是对我们之间接触的想法呢？
[00:02:15.420] 女：嗯。
[00:02:25.460] 女：嗯，还是希望还是希望希望我我我给这段关系下一个定义。
[00:02:33.200] 女：还是说还是说还是说对他的走向的一个想法。
[00:02:39.980] 男：我可能。
[00:02:42.240] 男：比较想知道你是怎你想之后我们这段关系的走向是。
[00:02:49.180] 男：怎么发展？
[00:02:50.268] 男：你是怎么想的？
[00:03:22.940] 女：这个。
[00:03:24.360] 女：嗯。
[00:03:37.160] 女：注意这个方法。
