[00:00:01.020] 男：键盘给我吧。
[00:00:14.460] 女：哦，嗯。
[00:00:17.200] 男：怎么了？
[00:00:19.040] 女：等一下。
[00:00:30.640] 男：怎么。
[00:00:33.920] 女：除了那个和这个和那个。
[00:00:38.840] 女：在在这之前还有一件事情嗯。
[00:00:45.220] 女：就是等一下啊。
[00:00:47.620] 女：我应该能够调出来。
[00:00:52.340] 女：完蛋了，半小时要承受太多了。
[00:01:05.400] 男：如果我没有做好准备的话。
[00:01:07.840] 男：你你你今天下午。
[00:01:10.700] 男：当你提出来。
[00:01:12.420] 男：要把整个事情告诉我的时候，如果我没有准备好，我就不会听你说。
[00:01:20.460] 男：你相信我吗？
[00:01:39.340] 男：嗯，不用。
[00:02:00.720] 男：哎呀，你好，八卦。
[00:02:02.840] 女：行，挺多。
[00:02:05.060] 女：干嘛？
[00:02:05.483] 女：他问我有没有。
[00:02:06.753] 男：回来找你。
[00:02:08.060] 女：谢谢啊。
[00:02:09.880] 男：我我我等明天上班了再去给你放卷子，不会误了你的大事。
[00:02:15.100] 男：我会我会保住你的工作的。
[00:02:22.240] 男：我操，我们宿舍禁鸽子了。
[00:02:28.840] 女：好。
[00:02:31.300] 男：这是鸽子还是什么杜鹃？
[00:02:40.420] 男：不是哪来的傻鸟去注射了。
[00:02:43.640] 男：笑死我了，我要发朋友圈。
[00:02:56.260] 女：为什么点不开啊？
[00:03:04.340] 男：这是啥鸟？
[00:03:16.500] 女：我点不开。
[00:03:24.220] 男：嗯，我先不看。
[00:03:26.080] 女：就是就是那个就是那个我。
[00:03:31.020] 女：他他他他在我喝完酒一直不太清楚的时候自己做的啊。
[00:03:36.620] 男：第一次。
[00:03:38.040] 女：后面就是在在弄。
[00:03:39.992] 男：了一次。
[00:03:40.829] 女：他还逼他逼之之前的。
[00:03:47.600] 女：不过不过不过因为我那个时候因为喝太多酒了，马上就去吐了。
[00:03:55.080] 女：嗯，然后我想想。
[00:03:56.980] 女：然后就是。
[00:03:58.740] 女：就是在在这个时候，那个那个C出现了。
[00:04:03.900] 女：嗯，然后。
[00:04:07.060] 女：然后我在17号。
[00:04:10.520] 女：我在17号离开哈尔滨回到了广东。
[00:04:14.100] 女：然后在那之后，我因为和B断绝断交了嘛，然后就是我和小马和西三个人。
[00:04:20.940] 女：有个小区，然后后面后面他们两个之间发生了很多次矛盾，就其实基本上都是为。
[00:04:28.180] 女：嗯，然后然后到到到4月份。
[00:04:31.120] 女：就是上一年上一年上1年4月4月4月底的时候。
[00:04:37.120] 女：嗯，这中间我有几次想要去跟他谈谈我们之间的事情。
[00:04:42.240] 女：嗯，然后。
[00:04:43.560] 女：就是就是被画饼了，因为他看上去很愧疚，然后很痛苦，但是想跟我去聊。
[00:04:52.100] 女：嗯嗯，那最后最后反正就是因为一同凌晨聊了四个多小时电话。
[00:04:58.780] 女：他他也把我拉黑了。
[00:05:02.460] 女：通知他回去之后。
[00:05:05.020] 女：估计找不到你的座。
[00:05:07.020] 女：嗯嗯，就各种什么。
[00:05:09.760] 女：吃药啊，干嘛的，什么喝酒啊，然后给我打电话说什么。
[00:05:16.007] 男：想我啊。
[00:05:18.360] 女：然后他现在还想在五一。
[00:05:21.080] 女：五一那会儿过来找我。
[00:05:24.680] 男：他们满脑子都是。
[00:05:28.760] 女：嗯，然后考虑过这件事情。
[00:05:31.821] 男：对你的。
[00:05:35.340] 女：然后然后然后。
[00:05:39.000] 女：呃，然后就是那个时候。
[00:05:42.220] 女：那个时候。
[00:05:44.040] 女：就是因为他他抽离了，你要把C叫过来，当时基本上真正的知识都是来自于C。
[00:05:51.020] 女：嗯嗯。
[00:05:53.880] 女：然后到后面包括这就是筹码找我去。
[00:05:58.740] 女：呃，示爱，然后去找我找我去问我到底是好像在关系中获得什么呀什么什么的。
[00:06:04.750] 女：就是其实都是就是就是我和群马之间我能够看清楚，是因为我洗澡把我疏离。
[00:06:10.900] 女：你要顺便帮我提供一份他那边的视频。
[00:06:14.080] 女：因为因为他们之间相处三年了。
[00:06:17.000] 男：黑人还挺好的，听你这么说。
[00:06:21.300] 女：哎，就是因为好人才被叫过来帮。
[00:06:24.400] 女：嗯，那个那个二月份上一年二月份做的海报。
