[00:02:36.480] 女：这个为什么用？
[00:02:51.940] 男：一方面。
[00:02:55.720] 女：嗯。
[00:02:56.960] 男：那个。
[00:03:06.300] 男：你的原因就是。
[00:03:09.520] 男：有很多。
[00:04:22.860] 女：如果我的回答让你不满意，你会怎么办呢？
[00:05:56.920] 男：嗯。
[00:05:58.040] 女：嗯。
[00:07:55.160] 女：然后你在意了一整天都问题就是这两个？
[00:08:01.740] 女：你说你今天很累难过。
[00:15:44.860] 男：呃。
[00:17:03.420] 女：你不觉得这两个问题很不经大脑。
[00:17:15.520] 女：不知道。嗯。
[00:17:16.800] 女：我的回答让你满意的话。
[00:17:19.780] 女：（听不清），我们有机会可以在一起。
[00:17:25.840] 女：有机会可以去。
[00:17:27.940] 女：还有，这个。
[00:17:29.420] 女：未来。
[00:17:44.020] 女：那个。
[00:17:46.520] 女：就这个。
[00:17:48.200] 女：在一起的想象，是能让你能够面对。
[00:17:51.660] 女：如果。
[00:17:54.820] 女：如果如果超出了这个预期
[00:17:57.500] 女：那么我就变成了一个模糊的对象。
[00:18:04.740] 女：然后。
[00:18:07.880] 女：然后你问的这个问题。
[00:18:10.060] 女：他们就被。
[00:18:12.040] 女：放到了一个无形的天平上面。
[00:18:15.140] 女：去衡量。
[00:18:18.780] 女：如果他。
[00:18:20.540] 女：如果它的重量是这样的那我到底要不要？
[00:18:36.780] 女：它听起来就是这样的。
[00:18:39.400] 女：而且你也说了，你没有跟我说。
[00:18:42.540] 女：今天晚上出来散步是。
[00:18:45.040] 女：有问题要聊的，我以为只是因为你难过。
[00:18:48.080] 女：然后。
[00:18:50.100] 女：希望我们可以一起走过来走一走。
[00:18:53.200] 女：不是谁的。
[00:18:55.120] 女：哪怕
[00:18:56.880] 女：在路上提到这个事情，说“我有点事情很在意”。
[00:19:01.480] 女：然后再来问我。
[00:19:03.140] 女：你在车上突然蹦出来这个话题是什么意思？
[00:19:13.680] 女：我感觉好像好像我们两个在相亲一样的，就那种。
[00:19:17.460] 女：呃，你的工作是什么？
[00:19:20.320] 女：你你接下来的发展打算是怎么样？
[00:19:23.740] 女：你的未来计划是怎么样？
[00:19:27.020] 女：Ok那么聊了这么多了，你现在对我有没有意思？
[00:19:30.370] 女：你是你对我是什么想法？
[00:19:32.134] 女：我们有没有机会。
[00:19:36.000] 女：我不是反感你问的问题本身。
[00:19:39.020] 女：主要是，而是它们提出的时机和它们在刚才那个情境下所代表的那个位置，那个意义，
[00:19:48.260] 女：它背后所期待的东西，
