[00:00:00.520] 女：我感觉我可以借着和他。
[00:00:04.900] 女：和他继续去聊一些东西，然后。
[00:00:08.660] 女：然后再确认我自己的形象吧。
[00:00:11.120] 男：你的形象。
[00:00:12.288] 女：我对嗯我对亲密关系之中的一些边界。
[00:00:17.220] 女：态度是什么样的嗯？
[00:00:20.460] 女：正好正好算是一个机会吧。
[00:00:22.966] 女：如果我能对着一个人去很诚实的去讲述那些东西的话，对我来说。
[00:00:29.700] 女：嗯，这也挺大的嗯。
[00:00:33.240] 女：比如说我我在跟他讲到你的时候，就花了很大。
[00:00:37.320] 男：勇气嗯嗯。
[00:00:38.640] 女：嗯，这个确实比较熟。
[00:00:41.620] 男：对，宝宝，李子。
[00:00:42.730] 女：反正我觉得说出来之后又有力量了。
[00:00:46.560] 女：反而反而这个东西和他怎么对我倒是没有关系。
[00:00:50.210] 女：其实说我我对一个人的这个。
[00:00:52.620] 女：职业事情是有帮助的嗯。
[00:01:01.660] 女：他要是他他要是能说服自己不在乎你我觉得还真无所谓啊。
[00:01:11.120] 女：反正这小小子还没意识到问题所在吧。
[00:01:15.780] 男：哎，他其实知道，但他不想说。
[00:01:20.820] 女：我管他，我就是要跟他说。
[00:01:23.830] 男：他说了显得他小小气。
[00:01:28.320] 女：也不像是小气。
[00:01:30.340] 女：就是。
[00:01:41.740] 女：我想一下，好像真的是可以去表达的嗯。
[00:01:44.980] 女：我想说的一些就是那个关系的另外一种形式吧，它不不能在道德上去谴责我。
[00:01:52.360] 男：嗯。
[00:01:55.160] 女：因为我都坦诚告诉你了。
[00:01:57.340] 男：对呀。
[00:01:59.400] 男：对呀，那你该说的都说了。
[00:02:02.660] 女：还没说完。
[00:02:04.860] 女：那你保留了一。
[00:02:07.360] 男：哎，你这说完了，他更受不了。
[00:02:11.300] 女：哎，受不了受不了，天天在路上还还。
[00:02:14.060] 女：还还还有需求吗？
[00:02:15.916] 女：那我就告诉我，告诉他这个会和CBC。
[00:02:20.380] 女：页面上传。
[00:02:22.400] 男：对呀。
[00:02:23.820] 女：你你要是。
[00:02:25.780] 女：你要是你要是不能接受。
[00:02:28.480] 女：那你自己想法去吧，嗯，我是不会为了你去改变这一点的对呀。
[00:02:34.800] 女：然后然后是你要要是你能说服自己的话。
[00:02:38.620] 女：你真的说服自己吗？
[00:02:40.050] 女：你自己去好好想想。
[00:02:41.620] 男：对，你你你光是听说有我这个人。
[00:02:46.740] 男：哎。
[00:02:48.040] 女：再多一点时间吧。
[00:02:52.800] 女：说实话呢，他说这个东西感觉和之前相比又。
[00:02:59.340] 女：就是就是观念上的已经已经有有某种转变了。
[00:03:03.720] 男：嗯。
[00:03:09.040] 女：然后至少态度上还是挺诚恳的。
[00:03:11.980] 男：哼哼。
[00:03:13.260] 女：嗯。
[00:03:15.220] 女：但但是也更加清楚的认识到了他的问题吧，反正我。
[00:03:19.820] 女：感觉没有必要把它掰断。
[00:03:22.080] 男：嗯。
[00:03:35.560] 男：今天安排别往别往心里面走了。
[00:03:43.640] 男：就这样处着。
[00:03:47.280] 女：哎，你知道我又在想什么吗？
[00:03:49.608] 女：嗯。
[00:03:50.520] 女：他带我探店，看到好吃的以后你过来我也可以带你吃。
[00:03:55.960] 男：哎，确实谢谢啊。
[00:03:59.960] 女：对吧？
[00:04:00.980] 男：嗯，对。
[00:04:09.060] 女：Ok那今天晚上那个字儿不？
[00:04:12.060] 女：但他遇到的其他事情，我也真的挺想做的。
[00:04:15.480] 男：嗯。
[00:04:18.500] 女：就是如果如果如果他跟他明确自己。
[00:04:22.060] 女：能够不以虚拟身份和我相处去做的话，我觉得其实也都能接受。
[00:04:28.500] 女：你是怎么说？
[00:04:32.260] 女：你觉得对我们之间。
[00:04:34.640] 女：是能够存在某种那个背负即时的吧。
[00:04:38.920] 男：嗯。
[00:04:40.360] 女：嗯，对我就想到什么跟我说。
[00:04:43.020] 女：他对我说，然后我想和你去做一些事情，如果这个事情不违反我和猫之间的亲密协议的话，我很乐意去做。
[00:04:50.619] 女：大概是这种感。
[00:04:54.400] 男：爸爸，你真的。
[00:05:03.000] 男：嗯，别约定也行。
[00:05:14.240] 女：在思考到底能和什么样的人群质料。
[00:05:18.520] 男：那不得得看你遇到的人吗？
[00:05:23.860] 女：因为如果是昨前天晚上那种的话，我觉得真的挺好的。
[00:05:28.068] 男：你知道吗？
[00:05:28.833] 男：今天晚上他放屁了，你这没办法。
[00:05:31.640] 女：天晚上。
[00:05:32.880] 男：嗯，对。
[00:05:34.460] 女：不是昨天晚上，昨天晚上肯定。
[00:05:46.680] 女：怎么办啊。
[00:05:48.085] 男：怎么办？
[00:05:50.520] 女：这个事情对于他来说是一个确认自己的机会。
[00:05:55.680] 男：哎呦，我靠，他是真能说呀。
[00:06:00.360] 男：他为啥能把亲你说成他确认自己呀？
[00:06:05.660] 女：能够为什么？
[00:06:06.660] 女：亲，我是表示一个想怎么跟我接受的一个决心啊。
[00:06:11.220] 男：我真的哎呦我我我我能get到一天。
[00:06:16.140] 女：嗯，你在录吗？
[00:06:17.458] 男：现在我在录呀。
[00:06:19.320] 女：那他写完之后说这个就是我的决心，我跟你表达的感情和决心。
[00:06:25.942] 男：我那我有点嗯，你说。
[00:06:28.540] 女：我没有，我有点没有太懂。
[00:06:30.778] 男：嗯，大概意思就是我感觉啊。
[00:06:36.000] 男：哎，为啥呢？
[00:06:37.141] 男：为啥他不清醒的时候他就不能听呢？
[00:06:42.000] 男：为啥他清醒的时候他就能听呢？
[00:06:45.460] 男：因为因为。
[00:06:49.460] 男：因为这个亲吻。
[00:06:52.240] 男：我更倾向于。
[00:06:55.780] 男：从一种比较世俗的角度去理解。
[00:06:59.800] 男：应该说是保守的角度。
[00:07:03.720] 男：我亲了你。
[00:07:06.320] 男：那么我们两个就是要。
[00:07:09.700] 男：走下去的人了。
[00:07:12.340] 男：能理解吗？
[00:07:15.220] 男：所以所以这代表着他的一种决心啊。
[00:07:19.360] 男：他决定要和你这样走下去了。
[00:07:23.880] 女：也就是说他是一种仪式，而不是。
[00:07:26.610] 男：一种感觉。
[00:07:27.450] 男：对，所以他才决定他要亲你。
[00:07:31.660] 男：一样的。
[00:07:34.520] 男：我是这样猜的啊，但具体咋样我不知道。
[00:07:39.860] 女：有点像吧嗯。
[00:07:42.300] 男：就为啥他要强调这他的决心呢？
[00:07:45.668] 男：他怎么说的，我看一眼去。
[00:07:50.180] 女：不太像啊嗯。
[00:07:56.320] 男：但但是他的动作不像。
[00:08:00.120] 男：嗯，但是它的叙事里面他是这样去叙事的。
[00:08:04.920] 男：那啊。
[00:08:07.100] 男：就是他说很想做，但是那会儿意识到。
[00:08:11.060] 男：不清醒，他就不明白怎么相处。
[00:08:15.040] 男：今天这样做是他因为他心情。
[00:08:18.440] 男：然后都可以接受。
[00:08:21.060] 男：然后什么。
[00:08:23.880] 男：在他决心的某种体现。
[00:08:26.520] 男：下定决心，哎，在眼下和莫老师走下去。
[00:08:30.800] 男：那你点了吗？
[00:08:32.100] 男：这他自己说的。
[00:08:39.240] 男：他自己说，他就把这个亲吻看成了是他想要和你一直走下去的一种决心。
[00:08:50.200] 男：但是他的表现形式上很啊什么。
[00:08:55.540] 女：给一个机会是什么意思？
[00:08:57.630] 女：你给我一个机会，让我改变的。
[00:09:01.820] 男：哎。
[00:09:07.940] 男：传达感情。
[00:09:13.800] 男：但愿意直面可能发生的事情。
[00:09:25.240] 男：生理角度，有欲望。
[00:09:40.280] 男：看对这恶心的表态吗？
[00:09:42.470] 男：我觉得他这个表态，他里面有些东西也是他粉饰的。
[00:09:50.100] 男：至少从你的叙述来看。
[00:09:52.800] 男：他亲你的时候的表现，绝不是。
[00:09:57.720] 男：表明一种决心的吗？
[00:10:00.760] 男：单纯的。
[00:10:03.740] 女：他他当时亲就当成是看我太醉了。
[00:10:07.174] 男：就想亲对他的，后来把这首歌亲吻给他。
[00:10:11.240] 男：在这一个多小时的时间里面把它。
[00:10:14.760] 男：提炼成了某种决心。
[00:10:22.180] 女：你要不是只要克制一下，找个时间清一清，那也那那那写这篇小作文。
[00:10:28.570] 男：都挺好的。
[00:10:29.483] 男：对呀。
[00:10:38.540] 男：那就是。
[00:10:40.280] 男：就是他妈的，他那会儿他精神上脑了。
[00:10:44.860] 男：哎，他他想。
[00:10:48.160] 男：占你便宜他就清，但清完之后他的道德不允许他这样做，他就得想想个理由。
[00:10:55.960] 男：给自己交代。
[00:10:59.720] 女：嗯，他没有办法接受自己成为像我之前那些人。
[00:11:03.932] 男：对呀，你前脚刚提过，他后脚就亲上来了。
[00:11:07.880] 男：哎。
[00:11:09.560] 男：抱抱呢？
[00:11:12.260] 女：你看，这倒是没什么感觉。
[00:11:15.860] 男：我听着你声音好像有点儿你你哪里难受吗？
[00:11:22.660] 男：颜色。
[00:11:25.020] 男：你哪里难受吗？
[00:11:27.380] 女：那样吧。
[00:11:28.700] 男：行。
[00:11:30.820] 女：嗯，能听清。
[00:11:32.480] 男：我听到你声音好像有点那个。
[00:11:35.200] 男：有气哽着。
[00:11:38.580] 女：我靠着窗台。
[00:11:40.622] 男：呢哦。
[00:11:41.800] 男：宝宝，让自己舒服一点啊。
[00:11:45.760] 女：我以为也是你的罪过的时候，请啊。
[00:11:48.380] 男：我有吗？
[00:11:50.060] 女：嗯。
[00:11:54.920] 男：我我我我趁人之危吗？
[00:12:00.020] 女：天天说这里就有点退了，那就更新上来了呢。
[00:12:07.880] 男：笨笨。
[00:12:09.300] 男：哎呀。
[00:12:11.300] 男：不一样吧。
[00:12:13.520] 女：真的吗？
[00:12:15.380] 男：那个时候。
